sentence,frequency,code
haydi ama haydi haydi,11,G4-L21-F11-1141660
haydi bakın,11,G2-L11-F11-1141740
haydi bakalım küçük adam,11,G4-L24-F11-1141760
daha önce mi geldi,11,G4-L18-F11-1141764
yok bir şey doktor,11,G4-L18-F11-1141806
belki daha da kötü,11,G4-L18-F11-1141137
sorun yok onun işi bu,11,G5-L21-F11-1141947
sonra bak,11,G2-L9-F11-1141970
doğru ya da değil,11,G4-L17-F11-1141983
doğru ya doğru,11,G3-L14-F11-1141998
nereden efendim,11,G2-L15-F11-1142009
belki de sorun bu,11,G4-L17-F11-1142015
öyle değil misin zaten,11,G4-L22-F11-1142023
sorun yok o iyi bir şeyi yok,11,G7-L28-F11-1142178
tanrım çok uzun zaman,11,G4-L21-F11-1142214
daha özel bir şey olmalı,11,G5-L24-F11-1142255
çünkü içinde ne olduğunu bilmiyorum,11,G5-L35-F11-1141286
yapma gidelim,11,G2-L13-F11-1141010
benden sadece bir tane var tamam mı,11,G7-L35-F11-1140241
asla öyle bir şey,11,G4-L17-F11-1140399
asla çok geç değil,11,G4-L18-F11-1140271
doktor az sonra burada olacak,11,G5-L29-F11-1140287
tamam tamam dedim,11,G3-L17-F11-1140288
tamam tamam ben,11,G3-L15-F11-1140331
doktor bir şey söyledi mi,11,G5-L25-F11-1140340
doktor bana söyledi,11,G3-L19-F11-1140344
tamam tamam bir şey yok,11,G5-L23-F11-1140353
doktor böyle söyledi,11,G3-L20-F11-1140367
tamam tamam baba tamam,11,G4-L22-F11-1140374
doktor sorun nedir,11,G3-L18-F11-1140395
doktor dinle beni,11,G3-L17-F11-1140416
güzel bir gün daha,11,G4-L18-F11-1140879
tamam tabii ki söyledi,11,G4-L22-F11-1140419
öyle olacak tabii ki çünkü gerçek bu,11,G7-L36-F11-1140434
olmaz böyle ama,11,G3-L15-F11-1140506
güzel bir tane efendim,11,G4-L22-F11-1140507
yani şunu demek istiyorum,11,G4-L25-F11-1140513
güzel bir şey oldu,11,G4-L18-F11-1140651
tamam yani evet,11,G3-L15-F11-1140654
güzel bir kadın efendim,11,G4-L23-F11-1140679
güzel güzel güzel tekrar,11,G4-L24-F11-1140702
güzel iyi iş,11,G3-L12-F11-1140755
tamam hoş,11,G2-L9-F11-1147694
haydi git git git,11,G4-L17-F11-1147744
niye ya siz,11,G3-L11-F11-1147778
olacak olan şey bu,11,G4-L18-F11-1147836
çok bir şey istemiyorum,11,G4-L23-F11-1164251
çok fazla efendim,11,G3-L17-F11-1164324
şimdi olmaz de,11,G3-L14-F11-1164331
gerçekten dışarı mı yani,11,G4-L24-F11-1164360
burada olduğunu biliyorsun,11,G3-L26-F11-1164364
şimdi olmaz kadın,11,G3-L17-F11-1164379
oh doğru doğru,11,G3-L14-F11-1164407
o aynı değil,11,G3-L12-F11-1164425
çok fazla iş olacak,11,G4-L19-F11-1164449
burada olan sadece bu,11,G4-L21-F11-1164461
ediyor zaten,11,G2-L12-F11-1164526
oh elbette efendim,11,G3-L18-F11-1164560
oh doğru ya evet,11,G4-L16-F11-1164576
hâlâ istiyorsun değil mi,11,G4-L24-F11-1164626
ne o biliyor musun,11,G4-L18-F11-1164635
burada iyi mi,11,G3-L13-F11-1164647
peki ya ne olacak,11,G4-L17-F11-1164659
hâlâ da biliyorum,11,G3-L17-F11-1164687
oh bunu mu istiyorsun,11,G4-L21-F11-1164717
gerçekten ben değilim,11,G3-L21-F11-1164718
peki yardım için teşekkür ederim,11,G5-L32-F11-1164729
oh bunu bilmiyorum,11,G3-L18-F11-1164744
hâlâ hiçbir şey yok,11,G4-L19-F11-1164754
ne işi var burada bunun,11,G5-L23-F11-1164187
şimdi olmaz ben,11,G3-L15-F11-1164171
ne olacak bilmiyorum anne,11,G4-L25-F11-1164036
tekrar yok mu olacak,11,G4-L20-F11-1163433
tam burada dostum,11,G3-L17-F11-1163073
burada ne oluyor biliyor musun,11,G5-L30-F11-1163085
peki çocuk var mı,11,G4-L17-F11-1163086
burada ne yapmak istiyorsun,11,G4-L27-F11-1163154
burada ne işi var hala,11,G5-L22-F11-1163170
bunu ve bunu da,11,G4-L15-F11-1163215
oh bu hoş,11,G3-L9-F11-1163308
peki ya ona ne olacak,11,G5-L21-F11-1163309
burada böyle şeyler çok oluyor,11,G5-L30-F11-1163386
ben zorunda değilim,11,G3-L19-F11-1163428
ne mi istiyor,11,G3-L13-F11-1163439
ne olacak benim,11,G3-L15-F11-1164033
benimle gel dostum,11,G3-L18-F11-1163478
üzgünüm ama değilim,11,G3-L19-F11-1163568
çok büyük ve,11,G3-L12-F11-1163653
ne lütfen,11,G2-L9-F11-1163662
ama sen her zaman,11,G4-L17-F11-1163665
benimle gel çocuk,11,G3-L17-F11-1163703
gerçekten bir harika,11,G3-L20-F11-1163797
tekrar geç,11,G2-L10-F11-1163856
gerçekten doktor mu,11,G3-L19-F11-1163891
ama sadece senin için,11,G4-L21-F11-1163941
bunu yapmak doğru değil,11,G4-L23-F11-1164792
burada ister misin,11,G3-L18-F11-1164817
bunu yapma işte,11,G3-L15-F11-1164834
yani hey,11,G2-L8-F11-1166494
hâlâ orada olduğunu biliyorum,11,G4-L29-F11-1166175
ve sonra ve sonra,11,G4-L17-F11-1166207
burada böyle bir şey yok,11,G5-L24-F11-1166228
sana ne ondan,11,G3-L13-F11-1166263
ama sana göre değil,11,G4-L19-F11-1166285
aslında hiçbir zaman,11,G3-L20-F11-1166312
oh bu gece,11,G3-L10-F11-1166386
şimdi o da yok,11,G4-L14-F11-1166387
burada bunu al,11,G3-L14-F11-1166394
oh bunu çok seviyorum,11,G4-L21-F11-1166411
çok da iyi bir baba,11,G5-L19-F11-1166528
ama sen ne biliyorsun ki,11,G5-L24-F11-1166131
bunun için artık geç,11,G4-L20-F11-1166608
şu senin,11,G2-L8-F11-1166625
bunun için çok üzgünüm bayan,11,G5-L28-F11-1166656
bunun için çok fazla,11,G4-L20-F11-1166670
bunun için biraz küçük değil mi,11,G6-L31-F11-1166779
oh bak sen,11,G3-L10-F11-1166990
sadece kendini dinle,11,G3-L20-F11-1167143
benimle ver şunu,11,G3-L16-F11-1167220
ama sanırım nerede olduğunu biliyorum,11,G5-L37-F11-1167248
çok da güzel biri,11,G4-L17-F11-1167260
tekrar teşekkür,11,G2-L15-F11-1166172
hâlâ olmaz,11,G2-L10-F11-1166121
hâlâ sizin mi,11,G3-L13-F11-1164850
burada her şey iyi,11,G4-L18-F11-1165276
şimdi olacak baba,11,G3-L17-F11-1164882
ne neden peki,11,G3-L13-F11-1164890
anne hey anne,11,G3-L13-F11-1164896
ne ne demek yani,11,G4-L16-F11-1164945
bunu yapma ama,11,G3-L14-F11-1164965
ne ne zaman oldu,11,G4-L16-F11-1165027
ne ne yapıyorsun orada,11,G4-L22-F11-1165033
burada hem de,11,G3-L13-F11-1165162
yani hemen mi,11,G3-L13-F11-1165242
o benim tanrım yardım et,11,G5-L24-F11-1165254
burada fazla para yok,11,G4-L21-F11-1165396
hâlâ orada mı bilmiyorum,11,G4-L24-F11-1166010
burada bir şeyler oldu,11,G4-L22-F11-1165592
ne kadar doğru bilmiyorum,11,G4-L25-F11-1165594
burada bir şey olabilir,11,G4-L23-F11-1165601
gerçek yemek yok mu,11,G4-L19-F11-1165646
burada değil tatlım,11,G3-L19-F11-1165746
sana ne ya,11,G3-L10-F11-1165873
yani hepsi değil ama sanırım,11,G5-L28-F11-1165882
ama ben bunu,11,G3-L12-F11-1165897
burada değil artık,11,G3-L18-F11-1165935
burada değil baba,11,G3-L17-F11-1165936
burada o kadar da çok değil,11,G6-L27-F11-1163053
peki çok özür dilerim,11,G4-L21-F11-1163009
gerçekten de çok hoş,11,G4-L20-F11-1162922
benim için iyi bir şey,11,G5-L22-F11-1152419
buraya kendi geldi,11,G3-L18-F11-1149914
onu seviyorum hem de çok çok seviyorum,11,G7-L38-F11-1149966
buraya benim için geldi tamam mı,11,G6-L32-F11-1149967
benim için de öyle oldu,11,G5-L23-F11-1149977
onu seviyorum seviyorum seviyorum,11,G4-L33-F11-1150022
buraya bayan,11,G2-L12-F11-1150035
oh kötü,11,G2-L7-F11-1150040
anne o çocuk geldi,11,G4-L18-F11-1150159
ne güzel olacak,11,G3-L15-F11-1150215
o bir kadın değil mi,11,G5-L20-F11-1152305
o bir kişi değil,11,G4-L16-F11-1152511
buraya sana,11,G2-L11-F11-1149738
anne bir sorun mu var,11,G5-L21-F11-1152541
ne hafta aslında,11,G3-L16-F11-1152580
sen al işte,11,G3-L11-F11-1152607
buraya bu yüzden geldi,11,G4-L22-F11-1152658
herkes iyi olacak işte,11,G4-L22-F11-1152752
sanırım bir tek benim,11,G4-L21-F11-1152844
ne doktor ama,11,G3-L13-F11-1152853
üzgünüm küçük adam,11,G3-L18-F11-1152921
sen al bunu,11,G3-L11-F11-1152957
bunu herkes biliyor değil mi,11,G5-L28-F11-1152977
o bir insan zaten,11,G4-L17-F11-1149816
ne güzel bir gün öyle değil mi,11,G7-L30-F11-1149662
onu bana bırak sen,11,G4-L18-F11-1153188
haydi gidelim mi,11,G3-L16-F11-1148327
ve yok oldu,11,G3-L11-F11-1147889
şu değil mi,11,G3-L11-F11-1147966
tamam güzel teşekkürler,11,G3-L23-F11-1148120
haydi haydi söyle,11,G3-L17-F11-1148140
çok çok seviyorum,11,G3-L17-F11-1148172
çok önemli bir yer,11,G4-L18-F11-1148203
haydi bizim için söyle,11,G4-L22-F11-1148208
çok önemli bir şey olacak,11,G5-L25-F11-1148236
ve bu da üç,11,G4-L11-F11-1148315
olacak tatlım,11,G2-L13-F11-1148323
ve yeni bir saat,11,G4-L16-F11-1148353
ve sonra bakalım,11,G3-L16-F11-1149638
haydi hadi haydi,11,G3-L16-F11-1148372
özel olarak teşekkür ediyor,11,G4-L27-F11-1148451
çok çok küçük bir şey,11,G5-L21-F11-1148477
hey şunu biliyor musun,11,G4-L22-F11-1148656
hey şimdi gidip,11,G3-L15-F11-1148720
çok ama,11,G2-L7-F11-1148814
efendim iyi misiniz efendim,11,G4-L27-F11-1148888
gidelim gidelim haydi,11,G3-L21-F11-1149462
benim için de tamam mı,11,G5-L22-F11-1149465
peki ya biz ne zaman,11,G5-L20-F11-1149490
oh lanet olsun lanet olsun,11,G5-L26-F11-1153069
onu ben de istemiyorum,11,G4-L22-F11-1153219
yine bir iş mi,11,G4-L14-F11-1162919
benim için gerçek para işte bu,11,G6-L30-F11-1155290
aslında her şeyi değil,11,G4-L22-F11-1154863
oh tanrım bu hiç de iyi değil,11,G7-L29-F11-1154873
tek tek tek,11,G3-L11-F11-1154892
ben öyle olsun istemiyorum,11,G4-L26-F11-1154952
çok harika bir şey söyledi,11,G5-L26-F11-1154990
oh tanrım dur,11,G3-L13-F11-1154998
yani gerçekten öyle,11,G3-L19-F11-1155005
buraya gel o zaman,11,G4-L18-F11-1155224
onu bana ver şimdi,11,G4-L18-F11-1155276
ne hakkında olduğunu bilmiyorum,11,G4-L31-F11-1155288
oh tanrım bana yardım et,11,G5-L24-F11-1155314
ne var bak,11,G3-L10-F11-1154737
oh lütfen efendim,11,G3-L17-F11-1155363
efendim gel,11,G2-L11-F11-1155380
bunu hep yapıyorsun değil mi,11,G5-L28-F11-1155385
herkes için değil ama,11,G4-L21-F11-1155401
yine de güzel değil mi,11,G5-L22-F11-1155406
ben bayan,11,G2-L9-F11-1155433
herkes için mutlu son,11,G4-L21-F11-1155448
çok harika bir şey oldu,11,G5-L23-F11-1155552
ne var ne yok baba,11,G5-L18-F11-1155671
burada neler yapıyorsun,11,G3-L23-F11-1162895
tamam ama bak,11,G3-L13-F11-1154758
ne var bakalım burada,11,G4-L21-F11-1154697
ne yani o,11,G3-L9-F11-1153266
hey yoksa o,11,G3-L11-F11-1154017
buraya da bakalım,11,G3-L17-F11-1153310
ne yani senin gibi mi,11,G5-L21-F11-1153366
ne var ki ya,11,G4-L12-F11-1153390
buraya da mı geliyor,11,G4-L20-F11-1153429
geç o zaman,11,G3-L11-F11-1153509
buraya hemen buraya,11,G3-L19-F11-1153662
böyle şeyler değil,11,G3-L18-F11-1153892
gidelim hayır,11,G2-L13-F11-1153941
anne orada olacak,11,G3-L17-F11-1153979
bunu göre biliyorum,11,G3-L19-F11-1154008
buraya gel beni dinle,11,G4-L21-F11-1154118
oh tabii evet,11,G3-L13-F11-1154640
o adam hakkında bir şey biliyor musun,11,G7-L37-F11-1154124
benim için gerçekten sorun olur,11,G5-L31-F11-1154127
tamam ama bekle,11,G3-L15-F11-1154267
bunu istiyor mu,11,G3-L15-F11-1154315
siz buraya,11,G2-L10-F11-1154335
böyle şeyler oluyor işte,11,G4-L24-F11-1154379
bana yardım mı,11,G3-L14-F11-1154393
herkes yok oldu,11,G3-L15-F11-1154483
çok hoş bir kız değil mi,11,G6-L24-F11-1154486
yine de her şey bir anda,11,G6-L24-F11-1154600
belki birkaç dakika,11,G3-L19-F11-1137985
asla çocuk yapma,11,G3-L16-F11-1137837
bunu çok istiyorsun,11,G3-L19-F11-1167329
doğru olan ne yanlış olan ne,11,G6-L28-F11-1124437
harika şeyler geliyor,11,G3-L21-F11-1126622
harika nerede peki,11,G3-L18-F11-1126641
harika olur baba,11,G3-L16-F11-1126646
nerede olduğunu söyle işte,11,G4-L26-F11-1126655
harika bir gün dilerim,11,G4-L22-F11-1126760
harika olur evet,11,G3-L16-F11-1126819
harika güzel güzel,11,G3-L18-F11-1126842
son üç dakika,11,G3-L13-F11-1126882
ona izin yok,11,G3-L12-F11-1126904
harika ya sen,11,G3-L13-F11-1126981
harika devam et,11,G3-L15-F11-1126993
harika gece için teşekkürler,11,G4-L28-F11-1126998
harika devam edin,11,G3-L17-F11-1127040
yanlış olduğu için mi,11,G4-L21-F11-1127076
çok güzel bir yemek oldu,11,G5-L24-F11-1127113
sanırım biraz daha,11,G3-L18-F11-1127117
üzgünüm evet evet,11,G3-L17-F11-1127159
çok az para,11,G3-L11-F11-1127179
çok güzel bir söz,11,G4-L17-F11-1127212
çok az lütfen,11,G3-L13-F11-1127262
çok az ve,11,G3-L9-F11-1127294
çok az kişi geldi,11,G4-L17-F11-1127404
burası da hazır mı,11,G4-L18-F11-1127470
harika ne güzel,11,G3-L15-F11-1126609
niye böyle olduğunu bilmiyorum,11,G4-L30-F11-1126580
nerede biliyorsun,11,G2-L17-F11-1126579
tanrım bana neler oluyor,11,G4-L24-F11-1125397
sonra bir tane daha bir tane daha,11,G7-L33-F11-1124579
sorun yemek değil,11,G3-L17-F11-1124634
ama anne o çok eski,11,G5-L19-F11-1124801
şu bay,11,G2-L6-F11-1124839
sonra bize ne olacak,11,G4-L20-F11-1124872
aman sağ ol,11,G3-L11-F11-1124913
sorun var gibi,11,G3-L14-F11-1125037
aman tanrım asla asla,11,G4-L21-F11-1125131
sonra bu adam,11,G3-L13-F11-1125151
nerede olduğu,11,G2-L13-F11-1125390
harika bir doktor,11,G3-L17-F11-1125534
son iki saat içinde,11,G4-L19-F11-1126394
niye bir tane,11,G3-L13-F11-1125589
harika biri gerçekten,11,G3-L21-F11-1125628
harika bir şey gibi geliyor,11,G5-L27-F11-1125644
tanrım asla,11,G2-L11-F11-1125860
niye bu kadar çok,11,G4-L17-F11-1125911
tanrım ben şey bile,11,G4-L19-F11-1126120
ve bu çok zor,11,G4-L13-F11-1126204
yok artık gerçekten mi,11,G4-L22-F11-1126214
yok artık hayır,11,G3-L15-F11-1126232
bence önemli değil,11,G3-L18-F11-1126329
anne ne söyledi,11,G3-L15-F11-1127478
gerçekten öyle biri var mı,11,G5-L26-F11-1127551
oh hey dostum,11,G3-L13-F11-1127669
çok ediyorum,11,G2-L12-F11-1129707
ilk önce,11,G2-L8-F11-1129515
benimle ilgili bir sorun var,11,G5-L28-F11-1129523
ne kadar gerçek gibi,11,G4-L20-F11-1129527
ilk,11,G1-L3-F11-1129548
ama belki kız olur,11,G4-L18-F11-1129553
ilk olarak,11,G2-L10-F11-1129559
sana ne oldu bilmiyorum,11,G4-L23-F11-1129560
burada bekle dostum,11,G3-L19-F11-1129568
o başka biri olmalı,11,G4-L19-F11-1129584
burada bekle o zaman,11,G4-L20-F11-1129694
ne kadar özel biri olduğunu,11,G5-L27-F11-1129742
çok efendim,11,G2-L11-F11-1129375
o benden de kötü biri,11,G5-L21-F11-1129794
sanırım bu bir evet,11,G4-L19-F11-1129864
gerçek efendim,11,G2-L14-F11-1129912
sana merhaba demek istiyor,11,G4-L26-F11-1129999
ben bu şekilde,11,G3-L14-F11-1130005
oh her dakika,11,G3-L13-F11-1130021
o ben değilim artık,11,G4-L19-F11-1130081
ben yeni bir şeyler istiyorum,11,G5-L29-F11-1130167
bunun sizin için ne kadar zor olduğunu biliyorum,11,G8-L48-F11-1130377
oh bence var,11,G3-L12-F11-1130508
benimle ilgili bir sorun mu var,11,G6-L31-F11-1129512
peki ya yeni kız,11,G4-L16-F11-1129314
ne sorun olacak ki,11,G4-L18-F11-1127775
onu burada,11,G2-L10-F11-1128653
tam orada işte,11,G3-L14-F11-1127862
yine de bir tane istiyorum,11,G5-L26-F11-1127951
üzgünüm buna gerçekten,11,G3-L22-F11-1128100
hiçbir yanlış yok,11,G3-L17-F11-1128144
çok güzel biliyorum,11,G3-L19-F11-1128171
ama seninle hayır,11,G3-L17-F11-1128191
bunu ne olduğunu biliyor musun,11,G5-L30-F11-1128347
anne mi o,11,G3-L9-F11-1128384
ve hiç iyi değilim,11,G4-L18-F11-1128463
gerçekten çok kötü oldu,11,G4-L23-F11-1128490
oh hayır hayır sorun değil,11,G5-L26-F11-1128747
gerçek de öyle,11,G3-L14-F11-1129226
bunu neden söyledi ki,11,G4-L21-F11-1128793
gerçek olsun istiyorum,11,G3-L22-F11-1128866
gerçek olsun,11,G2-L12-F11-1128891
gerçek burada,11,G2-L13-F11-1128913
iki kız,11,G2-L7-F11-1128985
gerçek orada,11,G2-L12-F11-1128994
çok değil bir iki gün oldu,11,G6-L26-F11-1129074
ve her şey için,11,G4-L15-F11-1129104
gerçek bu biliyorsun,11,G3-L20-F11-1129122
gerçek bu değil ama,11,G4-L19-F11-1129207
doğru olan bu değil mi,11,G5-L22-F11-1124462
doğru olduğu için,11,G3-L17-F11-1124367
gün bugün mü,11,G3-L12-F11-1137799
ama şunu iyi biliyorum,11,G4-L22-F11-1124353
üzgünüm ben biraz,11,G3-L17-F11-1120858
ne oluyor ya burada,11,G4-L19-F11-1120938
bunu sadece sen biliyorsun,11,G4-L26-F11-1120948
ne istiyorsun efendim,11,G3-L21-F11-1120969
ne oluyor yine,11,G3-L14-F11-1120978
hiçbir şey yok ki,11,G4-L17-F11-1120980
sorun şu ki ben,11,G4-L15-F11-1121009
ne istiyorsun daha,11,G3-L18-F11-1121043
tanrım anne bu sen misin,11,G5-L24-F11-1121057
sanırım bu onun,11,G3-L15-F11-1121145
sanırım biri geldi,11,G3-L18-F11-1121259
gerçekten ne biliyor peki,11,G4-L25-F11-1121293
ama seni şimdi görmek istiyorum,11,G5-L31-F11-1121318
peki şu anda nerede,11,G4-L19-F11-1121321
yok söyle,11,G2-L9-F11-1121584
buradan biri değil,11,G3-L18-F11-1121606
üzgünüm ben de,11,G3-L14-F11-1121648
ama senden değil,11,G3-L16-F11-1121739
peki ya lanet,11,G3-L13-F11-1121743
gerçekten gerçek mi yani,11,G4-L24-F11-1121855
tekrar et eski dostum,11,G4-L21-F11-1121862
gerçekten gerçekten burada,11,G3-L26-F11-1121864
hoş öyle değil mi,11,G4-L17-F11-1121865
şimdi ne kadar oldu,11,G4-L19-F11-1120835
gerçekten orada olmak istiyor musun,11,G5-L35-F11-1120796
gerçekten orada mı,11,G3-L18-F11-1120795
sanırım biri,11,G2-L12-F11-1120275
ve nasıl olur da,11,G4-L16-F11-1210933
oh gel hadi,11,G3-L11-F11-1119948
hiçbir zaman öyle olmaz bunu sen de biliyorsun,11,G8-L46-F11-1119999
ve hiç hoş değil,11,G4-L16-F11-1120003
üzgünüm biz sadece,11,G3-L18-F11-1120022
hiçbir şey bayan,11,G3-L16-F11-1120100
gerçekten o kadar uzun zaman oldu mu,11,G7-L36-F11-1120148
gerçekten neler oldu,11,G3-L20-F11-1120213
gerçekten o kadar iyi mi,11,G5-L24-F11-1120241
oh gel bakalım,11,G3-L14-F11-1120252
hiçbir yere baba,11,G3-L16-F11-1120338
selam daha onu,11,G3-L14-F11-1120782
bunu nereye,11,G2-L11-F11-1120352
onu buraya bırak,11,G3-L16-F11-1120356
buradan çok daha hoş,11,G4-L20-F11-1120526
buradan çocuklar,11,G2-L16-F11-1120552
ve sonra o gece,11,G4-L15-F11-1120564
gerçekten yapıyorsun,11,G2-L20-F11-1120565
gerçekten yapıyorsun yani,11,G3-L25-F11-1120658
onu nereye,11,G2-L10-F11-1120669
hiçbir şey bilmiyorum dostum,11,G4-L28-F11-1120759
anne bu mu,11,G3-L10-F11-1120778
tam olarak hazır değil,11,G4-L22-F11-1121883
üzgünüm ama izin yok,11,G4-L20-F11-1121885
anne bu önemli,11,G3-L14-F11-1122036
hiçbir şey hiçbir şey hiçbir şey ve hiçbir şey,11,G9-L46-F11-1123382
yok ya ben,11,G3-L10-F11-1123023
ama seni bir daha görmek istemiyorum,11,G6-L36-F11-1123025
burada sadece iki kişi var,11,G5-L26-F11-1123036
oh evet ben,11,G3-L11-F11-1123068
burada senin için,11,G3-L17-F11-1123094
burada sadece,11,G2-L13-F11-1123112
yani işte eğer,11,G3-L14-F11-1123115
burada tam size göre bir şeyler var,11,G7-L35-F11-1123150
anne lütfen geri gel,11,G4-L20-F11-1123256
bunu ona sorun,11,G3-L14-F11-1123271
tam olarak nasıl olduğunu bilmiyorum,11,G5-L36-F11-1123388
oh hadi gel,11,G3-L11-F11-1122939
son söz bu,11,G3-L10-F11-1123618
tanrım bu harika olacak,11,G4-L23-F11-1123694
tanrım bu da ne şimdi,11,G5-L21-F11-1123792
bence şimdi gidelim,11,G3-L19-F11-1123832
bence şey,11,G2-L9-F11-1123905
ve bu yüzden de,11,G4-L15-F11-1123957
görmek istemiyorum onu,11,G3-L22-F11-1124065
dedim ki hayır,11,G3-L14-F11-1124254
belki de çok geç,11,G4-L16-F11-1124270
dedim ki niye ben,11,G4-L17-F11-1124317
benim yok gibi yani,11,G4-L19-F11-1122965
ne istiyorsun adam,11,G3-L18-F11-1122933
ama seni biliyorum,11,G3-L18-F11-1122054
ne iş için,11,G3-L10-F11-1122365
peki şimdi iyi misin,11,G4-L20-F11-1122101
o artık yok tatlım,11,G4-L18-F11-1122113
peki ya küçük kız,11,G4-L17-F11-1122115
hoş biri o,11,G3-L10-F11-1122140
bay büyük adam,11,G3-L14-F11-1122202
geri gel hemen,11,G3-L14-F11-1122235
yani kadın,11,G2-L10-F11-1122264
bunu senden daha iyi biliyorum,11,G5-L30-F11-1122277
gerçekten kötü biri,11,G3-L19-F11-1122285
tam olarak ne olacak,11,G4-L20-F11-1122338
hoş olan ne,11,G3-L11-F11-1122424
ve tabii seni de,11,G4-L16-F11-1122820
ne olduğunu bilmiyorum ki,11,G4-L25-F11-1122448
tam olarak kötü değil,11,G4-L21-F11-1122455
hiçbir şey sorun değil,11,G4-L22-F11-1122634
çok geç de ne demek,11,G5-L19-F11-1122673
hiçbir şey elbette,11,G3-L18-F11-1122701
onu bırak tamam mı,11,G4-L18-F11-1122713
geri bırak onu,11,G3-L14-F11-1122771
geri de dur,11,G3-L11-F11-1122780
sanırım biraz var,11,G3-L17-F11-1122782
gerçekten tabii,11,G2-L15-F11-1122793
burası için değil,11,G3-L17-F11-1130684
hiç ha,11,G2-L6-F11-1130691
burası işte böyle,11,G3-L17-F11-1130721
hiç doğru değil bu,11,G4-L18-F11-1130753
hadi bir şeyler söyle bana,11,G5-L26-F11-1135684
hadi biraz al,11,G3-L13-F11-1135747
hadi ama sorun değil,11,G4-L20-F11-1135827
olur hadi gidelim,11,G3-L17-F11-1135831
ve şimdi de ben,11,G4-L15-F11-1135835
hadi ama senden çok zor bir şey istemiyorum,11,G8-L43-F11-1135849
hadi ama sen de istiyorsun,11,G5-L26-F11-1135851
olur gibi,11,G2-L9-F11-1135858
sorun adam,11,G2-L10-F11-1135877
sadece sen gel,11,G3-L14-F11-1135886
tamam şimdi sadece,11,G3-L18-F11-1135907
tamam şimdi iyi oldu,11,G4-L20-F11-1135967
sadece senin için biraz zor,11,G5-L27-F11-1135968
ve bu ne peki,11,G4-L13-F11-1136034
olsun bence harika,11,G3-L18-F11-1136058
ve bu ne demek oluyor,11,G5-L21-F11-1136121
tamam herkes buraya,11,G3-L19-F11-1136152
ama şimdi onu seviyorum,11,G4-L23-F11-1136165
ama şimdi onu çok seviyorum,11,G5-L27-F11-1136172
tanrım neler oluyor böyle,11,G4-L25-F11-1136212
tamam çok iyi çok iyi,11,G5-L21-F11-1136217
tamam onunla git,11,G3-L16-F11-1136367
ve şimdi bir iki üç,11,G5-L19-F11-1136421
hadi biraz daha al,11,G4-L18-F11-1135683
hadi bir şey söyle lütfen,11,G5-L25-F11-1135662
olur çok sağ ol,11,G4-L15-F11-1135637
çünkü bu onun,11,G3-L13-F11-1135260
belki de gerçekten oluyor,11,G4-L25-F11-1135089
dinle bu sadece bir iş tamam mı,11,G7-L31-F11-1135096
hadi ama şimdi olmaz,11,G4-L20-F11-1135112
ve şimdi en önemli an,11,G5-L21-F11-1135127
çünkü bu o değil,11,G4-L16-F11-1135137
hadi ama benim,11,G3-L14-F11-1135158
hadi ama ne var,11,G4-L15-F11-1135211
ve de yemek,11,G3-L11-F11-1135214
hadi ama neden böyle yapıyorsun,11,G5-L31-F11-1135221
hadi ama ne yapıyorsun sen,11,G5-L26-F11-1135222
çünkü bu kesinlikle doğru,11,G4-L25-F11-1135270
yapma böyle bir şey yok,11,G5-L23-F11-1135636
dinle sorun yok,11,G3-L15-F11-1135289
hadi ama olmaz,11,G3-L14-F11-1135300
doktor olarak,11,G2-L13-F11-1135352
doktor nedir o,11,G3-L14-F11-1135364
öyle mi özür dilerim,11,G4-L20-F11-1135433
şu anda önemli olan bu değil,11,G6-L28-F11-1135457
çünkü her an,11,G3-L12-F11-1135490
hadi ama güzel olacak,11,G4-L21-F11-1135527
hadi ama gidip bir şeyler,11,G5-L25-F11-1135530
hadi ama al şunu,11,G4-L16-F11-1135629
olsun yine de güzel,11,G4-L19-F11-1136425
benden de o kadar,11,G4-L17-F11-1136433
tanrım ne büyük bir yer,11,G5-L23-F11-1136502
ha öyle ha böyle,11,G4-L16-F11-1137572
güzel olan benim,11,G3-L16-F11-1137280
olmaz peki neden,11,G3-L16-F11-1137285
tamam şimdi beni iyi dinle,11,G5-L26-F11-1137340
belki de efendim,11,G3-L16-F11-1137377
tamam şimdi bir bakalım,11,G4-L23-F11-1137385
yani çok üzgünüm,11,G3-L16-F11-1137458
tamam orada dur bakalım,11,G4-L23-F11-1137460
tamam şimdi burada bekle,11,G4-L24-F11-1137520
tamam şimdi dur,11,G3-L15-F11-1137559
ha şu kız,11,G3-L9-F11-1137569
ha çok kötü,11,G3-L11-F11-1137574
belki de daha iyi,11,G4-L17-F11-1137238
ha tamam tamam,11,G3-L14-F11-1137594
öyle iyi geldi ki,11,G4-L17-F11-1137614
ha hiç aynı işte,11,G4-L16-F11-1137619
ha gerçekten mi,11,G3-L15-F11-1137645
çünkü burada hiçbir şey yok,11,G5-L27-F11-1137693
benden daha önemli olan ne var ki,11,G7-L33-F11-1137694
olur belki,11,G2-L10-F11-1137707
tamam şimdi geliyor,11,G3-L19-F11-1137709
ha bak,11,G2-L6-F11-1137761
belki biraz üzgünüm,11,G3-L19-F11-1137786
olmaz sağ ol,11,G3-L12-F11-1137245
güzel oldu çocuklar,11,G3-L19-F11-1137237
son bir kez bakın,11,G4-L17-F11-1136504
ve yine burada,11,G3-L14-F11-1136775
