fourgram,frequency
ama şu an ne,15
yani her şey böyle,15
bir şeyler olacak gibi,15
bir sana bir tane,15
bir dakika bu çok,15
onu daha güzel bir,15
belki de ilk önce,15
eğer sen de bana,15
git her şeyi bana,15
sadece bir kadın ve,15
çok kötü bir yıl,15
nasıl bir şey onu,15
onun olan her şey,15
bir sana bir bana,15
o şekilde devam et,15
bu yüzden hep bir,15
tam o yüzden o,15
bu senin için o,15
karşı böyle bir şey,15
değil bu çok kötü,15
ya da çok çok,15
devam ediyor ve bu,15
da seninle birlikte mi,15
bir de bundan sonra,15
da bu yüzden bunu,15
gerçekten çok mu kötü,15
o zaman bunu mu,15
bir tek şey bu,15
yok sen iyi bir,15
kimse yardım için bu,15
sonra bir şey olacak,15
bak şu an bunu,15
yoksa senin için iyi,15
benim o kadar da,15
söyle ne iş ben,15
ama iyi olmak her,15
zaman daha fazla şey,15
iki hafta değil mi,15
gerek yok seni iyi,15
ki ben de sizi,15
her şeyi yok mu,15
bir şey yok işte,15
ama benim için onunla,15
onun benden daha iyi,15
ki biz de bunu,15
hayır sana başka bir,15
kadar hiçbir şey onu,15
da ne kadar küçük,15
bir şey olmaz sana,15
önce size bir şeyler,15
bir daha asla kimse,15
kadar küçük olur ki,15
ve bir şeyler için,15
bu senin kadar beni,15
adam gibi değil mi,15
sen bu lanet şeyi,15
sadece bir kez bile,15
biri bunu daha önce,15
olan çok çocuk yok,15
bile o kadar çok,15
ben sana her gün,15
bir şey yok lütfen,15
ya da senin şu,15
o zaman doktor bile,15
onları da bizi de,15
bu da onları bir,15
saat işte o kadar,15
ama belki de kendini,15
bir şey olacak da,15
sonra senin bile bir,15
olduğu zaman biri fazla,15
da belki de benim,15
ki orada bir yerde,15
ve ben bunu şimdi,15
yani şimdi yeni bir,15
diğer bütün şeyler gibi,15
ve bana da öyle,15
değil de ne bu,15
ve bir iki gün,15
son olarak da şu,15
burada artık hiçbir şey,15
pekala senin için biraz,15
olan bir yerde yemek,15
ve sen de artık,15
her şeyi zaten biliyorum,15
tabii ama bu size,15
ama şu anda biz,15
olan bir tek kişi,15
bu daha iyi mi,15
pek de harika bir,15
ve yeni bir gün,15
ve bana doğru geliyor,15
zaten bana göre bir,15
sen bunu şimdi mi,15
da çünkü bunu asla,15
o sana göre bir,15
ve bir şey var,15
tek sen mi sağ,15
ama aynı senin gibi,15
biri kendini bu şekilde,15
ben orada olmak zorunda,15
nasıl bir şey görmek,15
birini ilk olarak o,15
belki de ben ona,15
yok ki öyle bir,15
ama o ya da,15
ne olduğunu söyle ve,15
öyle ki her şeyi,15
ben sadece onlara kadın,15
ama daha iyi de,15
peki bunun seninle ne,15
seni burada bir daha,15
bilmiyorum ama öyle olduğu,15
bir şey olacak bu,15
ve sen bütün o,15
sonra daha iyi olur,15
bu önemli mi bilmiyorum,15
herkes benimle çok iyi,15
ve sen de pek,15
sadece birkaç saat sonra,15
ve bakın bugün nasıl,15
o anda buraya seni,15
bir daha bana sizin,15
bu daha fazla devam,15
bu çok önemli lanet,15
bu yüzden de hiçbir,15
ve bir hafta önce,15
ve sizin için önemli,15
sadece bir hafta vardı,15
yok hiç sorun yok,15
oh sen biliyorsun bu,15
en son şey beni,15
peki bu doğru mu,15
sen de beni buradan,15
yüzden ben de onlara,15
olarak çok güzel bir,15
onlar için çok ama,15
bilmiyorum ama bence bu,15
onlar yardım etmek için,15
gerçek olur gerçek olsun,15
sana hiçbir şey yok,15
belki de bu gerçek,15
olan çok şey vardı,15
tamam ya da devam,15
evet fakat o bir,15
bir daha bana ne,15
en son nerede olduğunu,15
ne oldu sana öyle,15
bilmiyorum ama belki başka,15
sonra bunu bana nasıl,15
bu senin için geldi,15
ve beni buraya kadar,15
bu yüzden en çok,15
artık ne zaman bir,15
sonra senin en büyük,15
öyle kötü bir şey,15
yemek bir dakika içinde,15
da doğru değil mi,15
hoş değil tamam mı,15
kadar var olan tek,15
ve bir çok şeyi,15
bir daha asla yeni,15
evet böyle şeyler olur,15
neden bana karşı hep,15
onlara ne olduğunu bile,15
bu yüzden nerede olduğunu,15
olarak doğru değil efendim,15
şekilde başka bir yerde,15
sen bunun hakkında bir,15
için üç gün mü,15
peki bütün bunlar ne,15
onun benim için bir,15
onun için de daha,15
zaman bir an için,15
ne eve ne de,15
iki gün önce onu,15
olduğu gibi mi yani,15
yani her şey aynı,15
ki onunla küçük bir,15
o mu söyledi bunu,15
tamam belki de ben,15
evet ama artık çok,15
bu kötü bir adam,15
ama bir kez onunla,15
neden biz bir şeyler,15
peki sen bu işi,15
iyi şey var ki,15
gel buraya sana biraz,15
lanet şeyi daha yeni,15
olsun ben de gördüm,15
tek adam var o,15
bir an var mı,15
sanırım bu yüzden çok,15
başka şey ister misiniz,15
özür dilerim bu bir,15
neler oluyor bir bak,15
bir hafta önce ona,15
evet o da seni,15
var ve çok fazla,15
ama kesinlikle daha iyi,15
size yardım için burada,15
için sorun değil çünkü,15
neden hep böyle yapmak,15
ile aynı kişi mi,15
sana sorun olur mu,15
bakın bundan ben de,15
hiç bir şey söyledi,15
şu anda değil mi,15
benim dostum o benim,15
olacak ama küçük bir,15
de bu olsun istemiyorum,15
olmak öyle değil mi,15
yani bizim için bir,15
gün senin için bir,15
seni öyle değil mi,15
dostum bundan daha iyi,15
ama çok az kişi,15
senin için uzun zaman,15
eğer onu bana geri,15
beni daha çok mu,15
hep birlikte olmak ne,15
ben her gün aynı,15
ne olduğu tam olarak,15
ol ve eve git,15
ama önce bir şeyi,15
birkaç gün sonra seni,15
onları zaten çok iyi,15
çok fazla şey istiyorum,15
ben bunun yanlış olduğunu,15
senin benim için çok,15
bu kişi ben değilim,15
de onu buraya mı,15
için pek çok güzel,15
hepsi bu kadar tamam,15
ve bunu kabul ediyorum,15
benim iyi bir adam,15
ama kesinlikle bir şeyler,15
gerçek bir şeyler vardı,15
ve bu her ne,15
bunlar hakkında sen ne,15
öyle demek istemiyorum ama,15
tanrım seni çok seviyorum,15
küçük adam da burada,15
çocuk için ne çok,15
bütün şeyler gibi kendi,15
ve o çocuk ne,15
bana göre biraz küçük,15
çok şey olduğunu söyledi,15
çok ama çok küçük,15
dostum onun için gerçekten,15
dur dur o kadar,15
bunu kontrol et benim,15
ben de artık o,15
daha büyük bir çocuk,15
hiç öyle biri değilim,15
biliyor musun aslında o,15
işte o kadar geç,15
mı diye kontrol ediyor,15
nasıl ve ne şekilde,15
şeyler bu onları mutlu,15
neden doktor olmak istiyorsun,15
fakat ben hiçbir şey,15
yer var üç değil,15
iş neden bu kadar,15
sadece küçük hoş bir,15
o da senin bir,15
senin ve benim çok,15
ben de belki bir,15
az önce güzel bir,15
içinde iyi biri olduğunu,15
benden daha çok o,15
yine de bu iki,15
bu eve ne oldu,15
sana bir anne gibi,15
benim için pek öyle,15
ve bu asla bir,15
ve iş için de,15
ama bu gerçekten harika,15
ben de bir o,15
yine de her hafta,15
seni bir an için,15
beni değil onu da,15
ve onu çok iyi,15
küçük şeyler bu onları,15
göre bir şey bu,15
gibi ben de burada,15
size teşekkür ederim efendim,15
bunun için en az,15
sanırım o da değil,15
seni daha fazla bu,15
sana bir baba gibi,15
o bana ben ona,15
bugün senin için zor,15
ama ben sadece onun,15
yapıyorsun ben de senin,15
şu ki şimdi ben,15
bile bize bir şey,15
kadar da değil baba,15
az önce onun bir,15
gördüm ne de onunla,15
sizin için de bayan,15
görmek istiyorum o beni,15
ne demek istiyorsun onu,15
için de hiçbir neden,15
işte ben de öyle,15
biliyorum ama gerçekten üzgünüm,15
biliyor musun sen benim,15
beni tam olarak ne,15
yani bizim burada ne,15
niye o kadar kötü,15
böyle bir işi yapmak,15
bir son ver lütfen,15
bu kadar mı tatlım,15
bu kız bütün gün,15
ya da böyle evet,15
iyi kişi ben değilim,15
bir işte başka biri,15
orada ne işi olabilir,15
bütün çocuklar benden daha,15
sen ve ben şey,15
yani bundan hiç söz,15
ve o da sizi,15
biz senin bizim için,15
de yok olacak ve,15
hey hey hey sen,15
ve daha iyi olacak,15
gidip onu görmek istiyorum,15
o yüzden nasıl olduğunu,15
bütün çocuklar ondan dışarı,15
önemli değil onu da,15
yüzden nasıl olduğunu sadece,15
kadar harika bir gün,15
başka hiçbir yerde olmak,15
ama sen sadece kendini,15
hayır hayır hayır onlar,15
her zaman yardım ederim,15
eğer gerçekten bir şey,15
bir iş değil bir,15
eğer bir daha ona,15
ve bu harika olacak,15
bakın bir tane daha,15
peki nasıl olacak bu,15
ama biliyor musun sen,15
oh gerçekten de çok,15
daha önce seninle hiç,15
bu bana hiç bir,15
ama üç hafta önce,15
çok adam gidip geliyor,15
haydi gidip şu işi,15
peki ya sen bayan,15
demek sen nereden biliyorsun,15
sanırım bu çok fazla,15
birkaç saat içinde her,15
de bunun hakkında bir,15
şey için teşekkürler ve,15
kadın daha önce hiç,15
bir çok adam var,15
kimse bana neden burada,15
hayır hayır ben değilim,15
iyi biliyorsun öyle mi,15
bunu son bir kez,15
o her zaman seninle,15
yarın gece için bir,15
sadece şu an var,15
ben de seni mi,15
ben aslında şu anda,15
ben burada biraz daha,15
olarak bu yüzden onu,15
olmak için çok şey,15
bence sen böyle bir,15
eğer bir daha seninle,15
biliyorum ama gerçek şu,15
şimdi neden gidip kendi,15
sanırım o da seni,15
ben de başka yere,15
yine de benden daha,15
bu kez gerçekten kendini,15
neden bu gece için,15
daha çok para istiyorum,15
şimdi git ve biraz,15
nasıl olduğunu bile bilmiyorum,15
aslında hiç bu kadar,15
belki önemli bir şey,15
ben de yemek istiyorum,15
birkaç dakika sonra orada,15
seni görmek için daha,15
var ya o da,15
ya da geç bize,15
için hepsi bu mu,15
yer değil hepsi bu,15
ama siz devam edin,15
güzel bir söz bir,15
daha büyük olduğu için,15
hayır buna bir son,15
güzel bir şekilde bana,15
ederim bana bir daha,15
benim için birkaç tane,15
şey belki son bir,15
her şey de benim,15
biliyorsun ki senden başka,15
bir iş için sana,15
dakika içinde hazır tamam,15
sizi de bu işe,15
bunun bize çok büyük,15
çok özel çok güzel,15
ve ona artık beni,15
kadar mı tatlım her,15
ve seni hiçbir yerde,15
hiçbir şey için mi,15
kadar en fazla ne,15
lütfen beni o kadar,15
peki ya daha fazla,15
sadece şu an bunu,15
dakika içinde daha iyi,15
gerçekten de sen misin,15
o ki çok fazla,15
önemli bir işi olduğunu,15
büyük bir kız gibi,15
yani bir şey istiyor,15
bir gün bir de,15
daha bana böyle iyi,15
senin ve benim hiç,15
ben seni seviyorum ve,15
kesinlikle yanlış bir şeyler,15
ne demek oluyor tüm,15
ya beni ya da,15
ben de o adam,15
şey yok hepsi bu,15
ama gerçekten hiç gerek,15
sanırım bu bizim bir,15
neden bilmiyorum ama hep,15
evet sen de aynı,15
gün bir daha asla,15
efendim hayır efendim hemen,15
bir dakika ama bu,15
evet var ve ben,15
eminim ki bir gün,15
daha özel bir yemek,15
buradan buradan ve buradan,15
gereken şeyler var ve,15
ondan sonra da hiç,15
bir zaman o zaman,15
sen çok iyi iş,15
ne olabilir değil mi,15
bunun bu kadar uzun,15
ben bu şekilde yemek,15
bir gün kim olduğunu,15
bir gün de bir,15
haydi biz seninle çok,15
işte bu adam dostum,15
de böyle oh evet,15
bunlar gibi değil dostum,15
her şey demek olsun,15
bunu ben de sen,15
ver ve her şey,15
bir gün de olabilir,15
peki şimdi sen ne,15
çünkü sana gerçekten çok,15
ederim ve özür dilerim,15
daha pek çok iş,15
için seni daha iyi,15
yani bir tane daha,15
daha büyük hem de,15
bir yerde burada değil,15
bu kez küçük bir,15
evet sen de o,15
için bize izin ver,15
bunun bizi ne kadar,15
size karşı bir şey,15
mi her gece gerçek,15
bakın ne olduğunu bilmiyorum,15
için çok önemli o,15
nasıl başka bir şey,15
az önce iki gün,15
ben dedim ki peki,15
uzun zaman önce söz,15
başka bir şey onu,15
belki de sadece eve,15
o zaman neler oluyor,15
ama onun hakkında bir,15
sen sadece güzel eski,15
hayır hayır ben birini,15
yine de sorun olmaz,15
çünkü harika bir gece,15
peki sen neden orada,15
bence bu sana çok,15
hakkında başka şeyler de,15
olduğunu biliyorum ama buraya,15
burada yok da ne,15
ne demek ne kadar,15
sanırım bu da son,15
neden sen oraya gidip,15
sadece üç tane olduğunu,15
ya da biri onun,15
senden gerçek bir özür,15
zaman kötü adam olarak,15
seni görmek onu çok,15
de yanlış değil mi,15
aslında güzel bir gün,15
hiç ama hiç bir,15
ama beni niye işe,15
küçük bir şey gibi,15
neden böyle kötü bir,15
neler olacak bilmiyorum ama,15
de onu bir yere,15
belki öyle ama senin,15
az önce bana tüm,15
bana biraz para lazım,15
benim için zor olan,15
birkaç saat önce tam,15
bir şey ister ki,15
sizin gibi büyük bir,15
ama bir gün geri,15
ama sen ne olduğunu,15
bunlar iki tane değil,15
bir yere geldi ki,15
bir hafta önce onu,15
iyi bir çocuk tamam,15
peki neden sen bir,15
dedim ki şimdi ben,15
ve hâlâ bir şey,15
bunu onun için değil,15
bak bana biraz zaman,15
yok ama senin için,15
ama yine de gerçek,15
biliyorum sana daha önce,15
olduğunu bilmiyorum ama yine,15
evet yani artık değil,15
sizin için gerçekten zor,15
bu kız hakkında gerçekten,15
anne uzun bir gün,15
var ya işte bu,15
hayır hayır senin için,15
fakat bu onları uzun,15
ama bugün önemli bir,15
sanırım onun da orada,15
hiç iyi değil hiç,15
ama sanırım yine de,15
bu kadar çok uzun,15
sanırım bu da başka,15
yine de bu biraz,15
için de önemli olmalı,15
dedim ya ben bir,15
de bundan sonra öyle,15
o da böyle olsun,15
orada orada orada orada,15
hiç iyi değil gibi,15
bize gereken ilk şey,15
şey daha söyle senin,15
şu iki adam bana,15
şimdi benimle gel böyle,15
hiç iyi değil hem,15
bize büyük bir tane,15
için mi birlikte olduğunu,15
güzel bir kız olmak,15
için niye her şeyi,15
ne yemek ne de,15
bütün bunlar çok uzun,15
seni çok daha fazla,15
evet kimse seninle ya,15
bence bu tam da,15
ya nerede olduğunu bilmiyorum,15
bir gün önce mi,15
hey çok iyi bir,15
burada bir şey daha,15
ve bunu çok yeni,15
olsun bana iyi gibi,15
ama aslında bu bir,15
hayır hayır dinle beni,15
hiçbir yerde öyle bir,15
olmak o kadar zor,15
ama bu adam her,15
bu benim için asla,15
senin için ve bütün,15
şu anda da bana,15
sadece her zaman ne,15
peki siz ne zaman,15
nasıl oldu da onlara,15
de çok çok iyi,15
bakın o kadar da,15
gece ver tamam mı,15
gereken yerde değil ki,15
kadar değil ama bir,15
tam da ondan söz,15
hâlâ içinde iyi biri,15
çünkü bana seni neden,15
ama bu kez böyle,15
benim gibi biri sana,15
biliyorsun benim için tek,15
de hiçbir neden yok,15
kesinlikle öyle biri değilim,15
gibi onu da buraya,15
kim olduğunu söyle ve,15
git başka bir yere,15
oluyor bilmiyorum ama oluyor,15
ve bu yüzden bize,15
ya da doktor mu,15
her ne kadar hiçbir,15
özel bir şey gibi,15
iki dakika sonra size,15
çünkü biliyorsun ki seni,15
çok özel birkaç tane,15
peki ya senin izin,15
hem o beni hiçbir,15
sadece size bir kaç,15
de bu yüzden öyle,15
sorun şu ki bay,15
zaman her şey senin,15
ne zaman olduğunu biliyorum,15
bile bu çok uzun,15
bu kadar geç de,15
daha bir yıl oldu,15
küçük bir yemek sadece,15
şimdi nasıl oluyor da,15
daha sonra pek çok,15
an onun için en,15
onlar benim için bir,15
yere mi bu kadar,15
olduğunu ve benim için,15
bizi bu gece buraya,15
hiç insan var mı,15
bana karşı o kadar,15
gerçekten de buna mı,15
iyi bir çocuk mu,15
yine de bana hep,15
bu artık iyi bir,15
olan her şeyi yine,15
demek ne kadar zor,15
bu her yerde olan,15
bunu çok önemli iki,15
sizin çok özel çok,15
bunu para için yapıyorsun,15
şey küçük kız şimdi,15
iyi olur senin için,15
biz onlara yardım etmek,15
de bu yüzden sadece,15
neden ona da bana,15
hadi ama bunu daha,15
bu kadar önemli biliyor,15
siz devam edin bir,15
şu an onunla birlikte,15
de tam bir şeyler,15
bir çok şey gördüm,15
özel bir para o,15
ona de ki o,15
sanırım bizim için bir,15
olsun dostum onun için,15
için hiç de zor,15
beni bir insan kadın,15
de başka bir şekilde,15
aslında sanırım bu çok,15
önemli bir gün var,15
bırak ve gidip onu,15
bir saat kadar var,15
lütfen tanrım bu bir,15
nasıl olur da en,15
şey kesinlikle hiçbir şey,15
bir şey bizi buraya,15
başka bir kız vardı,15
kötü şeyler hep üç,15
bu gece biraz özel,15
için size çok zaman,15
bunu bana her zaman,15
ve diğer şeyler gibi,15
bunun için doğru yer,15
hayır hayır o işi,15
daha sonra da siz,15
bize senin onun için,15
iyi iş seni onun,15
bu kadar iyi yemek,15
çok üzgünüm özür dilerim,15
bu şekilde teşekkür ediyorum,15
çünkü gerçekten büyük bir,15
senin ve onun için,15
biz ya da o,15
bir yerde insan iyi,15
sorun vardı ama şimdi,15
için biraz geç olabilir,15
iyi yemek için herkes,15
ki ona göre siz,15
için bize teşekkür etmek,15
burada sadece siz mi,15
ve onlar benim bir,15
belki yarın bir şeyler,15
ama sana tam olarak,15
her gün kaç tane,15
et de o iş,15
bunu başka hiç kimse,15
başka olacak gece başka,15
bu her zaman olduğu,15
neler olduğunu gördüm bay,15
için doğru olan şey,15
hem artık seni hiç,15
adam gerçek bir adam,15
ama ben onları gördüm,15
işte bu bizi özel,15
güzel ne olduğunu biliyor,15
bir yer de var,15
ve üç küçük çocuk,15
şey yapıyorsun değil mi,15
bütün bir gece burada,15
sen sadece tam gece,15
daha birkaç hafta var,15
o bana doğru bir,15
ya da onunla ilgili,15
bu biraz fazla olur,15
için hiçbir şey yapmak,15
ve hala hepsi tek,15
senin için ilk mi,15
benim başka bir şey,15
bana onlar hakkında ne,15
başka kimse yok gibi,15
kontrol etmek için birkaç,15
ama tek sorun bu,15
sana merhaba demek istiyor,15
gerekiyor ve ben de,15
işi yapmak için bir,15
ona dedim ki aslında,15
bir gün uzun zaman,15
bir adam her gün,15
bir saat içinde onları,15
için biraz fazla bu,15
böyle oh evet dostum,15
ama bütün işi ben,15
senin hakkında çok yanlış,15
her ne kadar şu,15
olmak için bir saat,15
ben de çok özür,15
gerçekten üzgünüm ama şimdi,15
ama bence onlar bunu,15
göre sanırım sen iyi,15
benim gibi biri olmak,15
her biri çok iyi,15
aman ne hoş bir,15
o zaman al bakalım,15
bence bu çok özel,15
işte senden çok daha,15
sorun şu ki pek,15
güzel bir kız onu,15
ama güzel değil mi,15
belki de öyle olmaz,15
dakika sonra bir şey,15
sen şu an bir,15
o da bize yardım,15
o zaman seni buraya,15
bakalım bu gece ne,15
hey hey niye bu,15
biliyorum ama dedim ya,15
dakika sonra bir daha,15
ama onunla daha yeni,15
içinde iyi ve kötü,15
nerede olduğunu biliyorum ben,15
şu ki ne olduğunu,15
ben değilim ve o,15
sana mı yoksa bana,15
senden biraz daha fazla,15
çok şey var fakat,15
çok değil değil mi,15
mı istiyorsun yoksa sadece,15
güzel bir bayan bay,15
lütfen lütfen lütfen bana,15
birkaç saat sonra burada,15
olacak benim için değil,15
ama senin için o,15
yine de onu çok,15
bir hafta önce benden,15
ne olduğunu iyi biliyorsun,15
çok şey var mı,15
ama bence harika bir,15
bir şey ama evet,15
dur biraz sen de,15
lütfen sadece bir tane,15
ama sen ve senin,15
yıl içinde bir gün,15
bunu burada yapmak zorunda,15
bu kız bütün bu,15
haydi ama ben bir,15
seni öyle bir yere,15
birkaç saat sonra eve,15
şimdi bu onun son,15
bir dakika ben bu,15
yani birkaç dakika içinde,15
öyle önemli bir şey,15
de tam olarak emin,15
kadın sizi ne zaman,15
olsun bu tam bir,15
benim gibi olan bu,15
bir yere kadar işe,15
senin benim benim senin,15
de bir şey için,15
ben tekrar ediyorum ne,15
şey daha büyük bir,15
efendim bu çok büyük,15
bir şey doğru değil,15
gerçek bir doktor musun,15
o yüzden bana ne,15
için onlara başka kimse,15
ama bu iş hiç,15
kez daha ve sonra,15
öyle önemli değil ama,15
hepsi ne demek oluyor,15
önce iki gün sonra,15
çok şey var çok,15
için de hoş bir,15
seni gerçekten tekrar görmek,15
şu ki bir şey,15
falan değilim ki ben,15
ama sen beni buna,15
sadece tek bir yer,15
özel bir kadın olmalı,15
mi sen de mi,15
şey küçük bir şey,15
ile aynı değil mi,15
hayır hayır onu demek,15
benden daha iyi olmak,15
de tam olarak değil,15
hayır hayır hemen şimdi,15
o zaman neden şey,15
tane yeni adam istemiyorum,15
ona hem de bana,15
dakika daha fazla değil,15
hayır buradan başka bir,15
beni dinle ben senin,15
ben her gece o,15
çok şey ve çok,15
hem seninle daha sonra,15
biliyorum ki bu artık,15
kötü gün her kötü,15
hep üç tane olur,15
ne olduğunu biliyorum sanırım,15
fakat sadece bir tane,15
etmek için değil mi,15
ama bu yüzden burada,15
ve bu gece buraya,15
ve şimdi sen beni,15
ama biliyor musun çok,15
bana göre başka bir,15
önce hiç böyle büyük,15
zaman ya da nasıl,15
evet yeni bir şeyler,15
seni hem de işi,15
ama yine de hep,15
peki ya diğer iki,15
bana gereken her şey,15
şimdi de yemek mi,15
zaten doğru diye bir,15
ve şu anda onunla,15
daha az insan oluyor,15
bir tane daha olduğu,15
kadar çok yemek yer,15
benim için sadece iş,15
an için ben de,15
et ben de şu,15
onları yok etmek istiyorum,15
başka bir zaman ha,15
bir yıl önce iki,15
önce en az üç,15
bunu benim için çok,15
biliyorum sen her zaman,15
üç yıl önce bana,15
bunlar ve lanet bir,15
ama sana bir şeyler,15
efendim o kadar çok,15
zorunda olan o değil,15
çünkü bu doğru bir,15
başka nerede bu kadar,15
evet yeni bir şey,15
ama sen ve o,15
ne seni bu kadar,15
sen ve benim bir,15
tam ben de saat,15
ben başka kimse yok,15
demek olduğunu benim kadar,15
bunlar sadece kötü bir,15
gün yeni bir gün,15
sanırım burada daha çok,15
de çok küçük ve,15
şey bu işi niye,15
olmak için uzun bir,15
her zaman olur bay,15
burada orada hepsi aynı,15
gün ve bütün gece,15
zaman hiç bir yerde,15
aslında pek iyi bir,15
her zaman güzel şeyler,15
bu birkaç gün önce,15
benim gibi biri ile,15
biliyorum çok geç oldu,15
peki ne zaman oldu,15
ama her gün biraz,15
şu anda fazla bir,15
ve bu yüzden asla,15
kimse seninle ya da,15
sanırım şimdi neden beni,15
bana ilk kez o,15
ona sadece sen yardım,15
bu gece bunu bir,15
dostum öyle bir şey,15
şimdi bir bakalım olur,15
yine de o gece,15
ben sen ve ben,15
için de hiç hoş,15
birkaç dakika ver olur,15
olarak nasıl bir iş,15
ama ben sadece seni,15
sağ olsun onları çok,15
bence bunu bir an,15
ile ilgili de bir,15
bu şekilde tamam mı,15
bir gün bu olacak,15
daha sonra onunla ilgili,15
sana sadece ben yardım,15
önce bu işi benimle,15
emin değilim de ne,15
birlikte iki bir şimdi,15
dur da onları biraz,15
işte bu yüzden benim,15
de onu bana geri,15
burada her şeyi en,15
sadece güzel bir kadın,15
de bunu kabul ediyor,15
ne olduğunu biliyorum sen,15
olabilir ama başka bir,15
bu kez seni gerçekten,15
başka bir iş ver,15
sanırım o benim için,15
çok geç olduğunu söyle,15
biliyorum çok hoş bir,15
şimdi kendini daha mı,15
ya da bir tane,15
çok üzgünüm ve seni,15
niye o kadar uzun,15
sadece teşekkür ederim demek,15
ben tam bir geri,15
bunu da benim için,15
başka bir adam gibi,15
ki neler olduğu hakkında,15
bu gece bu yüzden,15
için bir şeyi olduğunu,15
o kişi her kimse,15
beni görmek için zaman,15
daha benimle bu şekilde,15
sana karşı gerçekten iyi,15
kadın doğru kadın olabilir,15
sadece senin için biraz,15
tanrım tanrım neden beni,15
ederim hiçbir şey yok,15
anne kimse bir şey,15
için bir tatlım var,15
benim gibi kötü bir,15
bir adam değil tüm,15
hepsi buraya senin için,15
ve ne olduğunu da,15
ama bu küçük kız,15
aslında bu biraz da,15
hakkında sana ne söyledi,15
ve bunu da sen,15
peki size bir şey,15
bunu hiç bir şekilde,15
önce emin olmak istiyorum,15
sadece iki kişi vardı,15
oluyor da siz bu,15
evet kesinlikle bir şey,15
eminim şu an bizi,15
sorun yoksa kontrol et,15
size karşı büyük bir,15
o kadar ki buna,15
tam bir kendini kontrol,15
burada çok fazla kişi,15
ama her şey öyle,15
ve şimdi o beni,15
burada çok da fazla,15
vardı ama hepsi yok,15
evet o da bunu,15
belki senin için daha,15
ne olabilir ki değil,15
an iki şey var,15
en eski ve kötü,15
ama yine de kendini,15
niye bana karşı bu,15
bu benim bunlar da,15
çok fazla adam çok,15
de bu kadar mutlu,15
ona göre siz de,15
her şey var ama,15
ne daha yeni mi,15
ama hiç gerçek bir,15
ne var ne var,15
ve eğer sana bir,15
özel birkaç tane daha,15
bu beni gerçek bir,15
benim de en az,15
onu bu şekilde nasıl,15
adam size bir şey,15
ve bu şu anda,15
ama ben onu yarın,15
sanırım büyük bir yanlış,15
emin olmak için hep,15
bunu ona yardım etmek,15
hafta en fazla bir,15
yine de bunu sana,15
senden daha çok iş,15
son dakika işi oldu,15
bundan böyle daha fazla,15
ne az ne fazla,15
burada olmak çok mu,15
evet sadece kötü bir,15
başka insan var mı,15
hayır ama daha iyi,15
senin gibi biri bu,15
senin için bir adam,15
bir gün önemli bir,15
senden tekrar özür dilerim,15
ne demek yani kim,15
seni bir iki gün,15
aynı senin gibi o,15
çünkü biz de iyi,15
şimdi de çok özel,15
çok zor olmalı değil,15
ki hiçbir şey yok,15
dakika içinde sizi oraya,15
belki de sen geç,15
daha bir saat oldu,15
ve bu da sağ,15
bunu en iyi siz,15
biz iki hafta önce,15
o zaman benimle burada,15
aman tanrım gerçekten çok,15
hayır gerçekten hayır hayır,15
hayır hayır çok kötü,15
ki her şey senin,15
ben bir seni ve,15
bu beni onu oraya,15
yardım etmek ister mi,15
o zaman neden tüm,15
zaman ne diye bana,15
ama bu iş senin,15
aman tanrım bakın burada,15
ben de sana kız,15
dakika içinde seni o,15
lanet olsun bu nasıl,15
buna şu an son,15
o zaman benim burada,15
fakat şu an bunu,15
ve her biri de,15
sadece üç kişi mi,15
bak bu adam bir,15
ne yapmak istiyor olabilir,15
bir gün daha bile,15
lanet olsun bu iyi,15
önce ve şimdi de,15
ve o sana çok,15
aslında hayır ama bunu,15
biliyor musun benim için,15
evet güzel bir gün,15
bundan daha fazla söz,15
ve işte benim için,15
çünkü senin kim olduğunu,15
bana bir şey yapmak,15
yine de bunu bana,15
güzel ama bu işe,15
al bakalım bu da,15
böyle şeyler hep benim,15
oldu ve biz de,15
peki neden her şeyi,15
biz de onu buraya,15
gel buraya seni lanet,15
ben dedim değil mi,15
böyle şeyler için tek,15
hayır bu işi bizim,15
çünkü en iyi zaman,15
ama bu da önemli,15
bu bir çocuk için,15
bu lanet şey için,15
olan şu ki onlar,15
evet tamam o zaman,15
bu doğru ama iki,15
fazla iş daha fazla,15
o zaman yarın aynı,15
öyle bir kız ki,15
anne benimle bu kadar,15
bir gece her şey,15
kız bir kez birlikte,15
an hiç bir şey,15
de bu hiçbir şeyi,15
size nasıl teşekkür ederim,15
burada zor bir iş,15
vardı ve pek iyi,15
ama artık bir çocuk,15
senin için bana göre,15
ve büyük bir şey,15
olduğu gibi benim de,15
her şey böyle oldu,15
bence senden iyi özel,15
şu an iki şey,15
kadın diye bir şey,15
sana bunu daha kaç,15
son bir kız onu,15
çok iyi olur adam,15
çünkü sana çok fazla,15
ve o şey şimdi,15
onu görmek istiyorum ve,15
bundan hiç emin değilim,15
hem de tam olarak,15
bunun gibi bir yere,15
ama bu onun ilk,15
ama hakkında bir şey,15
şeyler hep üç tane,15
ama eminim bir şeyler,15
bunu hala yapmak istiyor,15
hiçbir şey için fazla,15
yüzden mi her gün,15
ben de şimdi ona,15
önce bir kaç tane,15
sanırım bu yüzden bunu,15
ne sen biliyorsun ne,15
senden daha uzun ve,15
az önce buradan bir,15
