fivegram,frequency
hiçbir şey yok ve hiçbir,14
yapmak için iyi bir yere,14
öyle bir kadın ister ki,14
bana teşekkür mü etmek istiyorsun,14
kadar zaman olduğunu biliyor musun,14
eğer bu senin için sorun,14
için ne demek olduğunu sana,14
yardım etmek için çok geç,14
hayır hayır tatlım şimdi değil,14
ve bu yere bir bak,14
her gün için doğru bu,14
de pek hoş bir şey,14
bu harika bir şey biliyor,14
hayır hayır yok öyle bir,14
şimdi çok kötü bir şey,14
bir kız ol ve bana,14
için özür dilerim efendim ama,14
o senin kim olduğunu biliyor,14
için her şeyi var öyle,14
eğer orada yoksa zaten hiç,14
en iyi şey her şeyi,14
hayır hayır yani ben size,14
da senin için bir şey,14
en iyi şey ben miyim,14
burada değilim ve sen beni,14
kadar kötü bir şey olduğunu,14
kadar küçük bir şey nasıl,14
o kadar ve geç oldu,14
her gün her gece seni,14
hiçbir şey yok her şey,14
hiçbir şey senin için önemli,14
bana senin hakkında bir şey,14
bir kız olduğunu kabul ediyorum,14
için mi yardım için mi,14
onlar geldi ve ben de,14
gerek yok zaten değil mi,14
her gün her gün aynı,14
bütün gün ve gece birlikte,14
çocuklar hemen seni görmek istiyor,14
böyle bir şey için o,14
gerçek de bu değil mi,14
için özür dilerim anne ama,14
o bu iş için doğru,14
böyle bir şey için neden,14
şu an seni hiç de,14
bu kadar doğru bir şey,14
kadar uzun zaman ne yapıyorsun,14
ve ben de ona hemen,14
de o anda daha az,14
çok güzel ve harika bir,14
için bir kaç gün daha,14
bu şu an önemli değil,14
şey için gerçekten çok üzgünüm,14
ve bu da son olacak,14
bir dakika ne demek bu,14
bir dakika neler oluyor neden,14
ama burada kimse senden bunu,14
hayır efendim öyle bir şey,14
seninle olmak istiyorum ve ne,14
o harika biri değil mi,14
bir kez daha yanlış yere,14
onları daha iyi bir yere,14
gerçek şu ki bana da,14
için bir kez daha teşekkürler,14
için bir neden yok değil,14
adam daha al ve oraya,14
ama devam et devam et,14
yani daha iki gece var,14
üç bir iki üç bir,14
hayır bunu daha önce gördüm,14
eğer güzel bir kız bizi,14
seni görmek o kadar güzel,14
içinde bir şey var çok,14
o kadar da değil tamam,14
şey değil yemek için teşekkür,14
ve ben de senin en,14
tek insan ben değilim ya,14
için daha fazla adam mı,14
o da bunu bizim gibi,14
için daha fazla bir şey,14
bu kötü çok ama çok,14
yardım edin bana yardım edin,14
bu gece buraya kaç tane,14
kim olduğunu ya da neden,14
bir dakika bu kadar mı,14
dostum ben de öyle dedim,14
bana göre her şey çok,14
için ve bu da senin,14
bundan sonra artık hiçbir şey,14
de küçük bir kız gibi,14
çok büyük olduğu doğru mu,14
bundan sonra adam hiçbir yerde,14
olarak biz diye bir şey,14
bundan pek de emin değilim,14
daha önce kimse bana bu,14
ama bir kız her gece,14
adam var ya bu adam,14
daha sonra bir gün ben,14
sanırım ben de bir tane,14
biraz da bundan ister misin,14
sonra onu bir daha asla,14
anda en önemli şey bu,14
ama efendim o sadece bir,14
bu gece başka bir yerde,14
yani bu hayır demek mi,14
sonra orada çok daha fazla,14
bir dakika beni dinle lütfen,14
bir dakika daha izin ver,14
sadece tek bir şey dostum,14
sadece tek bir şey olabilir,14
mı öyle geliyor yoksa daha,14
çok daha fazla şey oldu,14
mı yok mu onu bile,14
de o kadar kötü mü,14
ama daha fazla da olabilir,14
mısın yoksa başka bir şey,14
de küçük bir şey değil,14
bu gece başka bir şey,14
onun için artık biraz geç,14
onlar için neden bu kadar,14
şey güzel olacak çünkü seni,14
oraya gerçekten gidip o güzel,14
bana da bir şeyler oluyor,14
en fazla bir saat içinde,14
nasıl bir çocuk olduğunu biliyorsun,14
o yanlış hiç bir şey,14
nasıl bir şey bunu da,14
onu sana bir hafta içinde,14
burada mı belki de senin,14
hayır kendi hakkında bir şey,14
onun için benden daha çok,14
de ya hep ya hiç,14
kötü şeyler için özür dilerim,14
hayır da ne demek oluyor,14
o da senin için bunu,14
kötü çok ama çok kötü,14
niye oluyor bilmiyorum ama senin,14
uzun zaman önce çok iyi,14
ama bundan daha güzel bir,14
üç doktor daha var ama,14
nasıl bir şey olduğunu ben,14
burada her şey gün gibi,14
gerçek şu ki tam olarak,14
ve bu da başka bir,14
çok iyi çocuklar sadece olmak,14
ama bunun bir sorun olduğunu,14
için ben size teşekkür ederim,14
hayır ilk önce siz lütfen,14
bu gece bizim için bir,14
küçük bir şey nasıl bu,14
için benden izin mi istiyorsun,14
küçük bir şey için beni,14
şey mi yoksa kötü bir,14
sana göre pek çok iş,14
hayır hiç gerek yok böyle,14
hayır hiç de öyle bir,14
hayır hiç de değil aslında,14
bir hafta olabilir bir ya,14
çok iyi ya da çok,14
ama bu zor bir iş,14
gerçek şu ki buraya kendi,14
ve bu da seni bir,14
bir de iyi bir adam,14
bu gece bir şeyler olacak,14
için bu da benim için,14
onun için doğru bir yer,14
çok değil ama yine de,14
için bundan daha doğru bir,14
o daha iyi bir yerde,14
bir de bir adam vardı,14
bana da biraz et ver,14
mı belki de senin gibi,14
üzgünüm eski dostum ama sen,14
üzgünüm fakat bu çok güzel,14
mı oldu yoksa biri bunu,14
bu işi senden çok daha,14
ve ben hiç bir zaman,14
yani bu senin için bir,14
bu işi nasıl yapmak istiyorsun,14
şu an ne yapıyorsun emin,14
en büyük sorun da bu,14
üç saat sonra hazır ol,14
için zor bir yıl oldu,14
üç yıl kadar önce bir,14
gerçek şu ki her zaman,14
üç yıl oldu bana iş,14
yanlış yerde olduğu için mi,14
de senin için daha iyi,14
kimse bunlar hakkında bir şey,14
bana da her zaman oluyor,14
ama bu çok çok çok,14
nasıl bir yer bu böyle,14
gerçek şu ki sen ve,14
onu bir an önce buradan,14
gerçek şu ki ondan çok,14
aman tanrım bu çok iyi,14
hayır böyle bir şeyi asla,14
biliyorsun sorun değil çünkü benim,14
ama gerçek şu ki aslında,14
bu iyi olur değil mi,14
orada bir yerde değil mi,14
orada bir şeyler mi var,14
çünkü her şey zaten küçük,14
en son bana ne zaman,14
buradan da her şey iyi,14
kim olduğunu bilmiyorum ama benim,14
seninle ilgili çok iyi şeyler,14
yok burası gibi bir yer,14
bence daha büyük bir şey,14
bu herkes için çok kötü,14
buradan bize ne kadar güzel,14
için fazla bir şey yok,14
bunun için de teşekkür ederim,14
bir yardım işi daha istemiyorum,14
ne demek sonra ne oldu,14
senin için burada hiçbir şey,14
biliyorum ama daha önce hiç,14
bir kız vardı biliyor musun,14
söyledi bana öyle geldi ki,14
için çok mu geç oldu,14
biliyorsun bu gece beni de,14
başka hiçbir şey kendini daha,14
yarın benim için büyük bir,14
çok güzel olur değil mi,14
ne demek olduğunu bilmiyorum efendim,14
dur bir dakika beni dinle,14
biliyorsun bu güzel bir şey,14
bence bunun için artık geç,14
ama ben senin hakkında çok,14
tamam o zaman neden buraya,14
bir en fazla iki saat,14
senin için daha iyi olabilir,14
bunun için benimle çok fazla,14
için en iyi zaman nedir,14
çünkü her gün daha da,14
lanet gibi bir şey mi,14
tek şey senin beni bir,14
bu o değil değil mi,14
daha iyi bir iş var,14
bana biraz zaman ver lütfen,14
seninle ilgili daha çok şey,14
seni biraz da bu yüzden,14
ama bana karşı her zaman,14
tek şey de o iş,14
yok bu benim için bir,14
senin için bir şeyler var,14
için şimdi harika bir zaman,14
için güzel bir gece ne,14
senin için daha çok şey,14
ama ben iyi biri değilim,14
ondan önce seninle bir şey,14
bu o kadar da uzun,14
yok benim olan tek şey,14
kadar iyi bir şey değil,14
söyledi ama pek bir şey,14
yok bir şey tamam mı,14
gerçekten o kadar güzel mi,14
o kadar güzel o kadar,14
tek şey senin çok güzel,14
için en iyi yer o,14
haydi burada bir şey yok,14
için en iyi olan şey,14
ama ben her zaman orada,14
bunun için bir neden var,14
ama ben seni sen de,14
o kadar güzel ki iki,14
bir kaç yıl oldu değil,14
ne demek gerçekten de bilmiyorum,14
hafta olabilir bir ya da,14
iyi bak ve iyi bir,14
o kadar güzel bir şey,14
seninle benden birkaç saat önce,14
adam var ya bütün hafta,14
neden ben de herkes gibi,14
biliyorum pek çok kişi bu,14
kız için sana bunu daha,14
başka bir şeyler daha var,14
ama bana bir söz ver,14
o kadar güzel bir yer,14
hayır benim için de ilk,14
söyle bakalım bayan ne oldu,14
senin için bir tane de,14
gerçekten başka bir çocuk daha,14
bence de bir sorun var,14
ondan da pek emin değilim,14
yok ama sana yeni bir,14
özür dilerim bir sorun mu,14
kız böyle bir şey işte,14
özür dilerim efendim bunu sadece,14
o kadar güzel olacak ki,14
hep büyük bir şey yapmak,14
özür dilerim bu doğru değil,14
başka bir şey ister mi,14
peki sen neden bir şey,14
biliyor musun benim de bir,14
tam olarak ne olduğunu söyle,14
senin için güzel bir gün,14
başka bir şey yok dostum,14
zaten ondan sonra hiçbir şey,14
özür dilerim ama benim de,14
başka bir yere gidelim hadi,14
gereken tek şey bunun yanlış,14
ondan sonra hiçbir şey yok,14
bu gerçekten iyi bir zaman,14
biliyorum ona bu yüzden yardım,14
istiyor ve tabii seni de,14
anne bu o değil mi,14
anne baba diye bir şey,14
gerçekten ama gerçekten özür dilerim,14
zaten her zaman başka biri,14
bir kız yeni birini her,14
iyi ama ben iyi değilim,14
zaten bunun için çok geç,14
senin için de iyi olmaz,14
ama ben bunu yapmak istiyorum,14
orada bizim için de yer,14
başka bir şekilde daha güzel,14
bence de çok iyi olur,14
doğru ve yanlış diye bir,14
bence kimse böyle bir şey,14
başka bir yer daha olmalı,14
şeyi kontrol etmek için eve,14
ya da ne kadar iyi,14
bunun için sana para mı,14
zaten sorun da bu çok,14
iyi bir adam tamam mı,14
iyi bir adam olmak için,14
iyi bir adam değil mi,14
ki ben senin gibi değilim,14
o kadar zor değil ki,14
sonra geri geldi ve onu,14
bunun için hiç bir şey,14
tüm bunlar için çok geç,14
çok güzel bir yer olmalı,14
gerçekten her şey için çok,14
haydi şu anda bize kimse,14
biliyorum ama bu büyük bir,14
o seni benden daha iyi,14
de öyle ve bu gece,14
bu önemli değil tamam mı,14
şeyi var öyle değil mi,14
onları çok daha az bir,14
bir kız için sana bunu,14
için emin bir yer yok,14
önemli olan şey de bu,14
lanet olsun o zaman bize,14
ve biliyorum ki sen de,14
önemli olan güzel bir şekilde,14
lanet olsun o da mı,14
bir kız bizi bu şekilde,14
önemli olan tek şey benim,14
için de bir şey olmalı,14
şu anda bize kimse yardım,14
için çok güzel şeyler var,14
ama başka hiçbir yerde de,14
biliyorsun ki ben hiçbir şeyi,14
neden bana hiç bir şey,14
dur bakalım bu doğru değil,14
çok iyi olur değil mi,14
senin için de çok önemli,14
için de çok özür dilerim,14
önemli olan tek şey sadece,14
o o benim en iyi,14
burada o burada o burada,14
yani lütfen lütfen ve lütfen,14
şu anda buna hazır değilim,14
için de yeni bir şey,14
lanet olsun niye daha önce,14
adam bir saat önce geldi,14
kim olduğunu biliyor musun sen,14
için çok büyük bir para,14
harika bir adam harika bir,14
ama belki de bunu çok,14
bu onun için bir iş,14
söz ver ben de sana,14
o senin için sadece bir,14
ama belki de bu var,14
kadar da zor değil ha,14
kadar da zor bir iş,14
da öyle ama bu onu,14
daha sonra çok büyük bir,14
şu an benim için çok,14
bana bir de şimdi bak,14
için çok geç ama sen,14
öyle bir şey ki bu,14
her birini hemen şimdi tek,14
bu benim için gerçekten büyük,13
bu bir yer değil bayan,13
ama bu belki de biraz,13
iyi bir baba olmak istiyorum,13
yardım et ben de onlara,13
sana daha sonra yardım ederim,13
o da sizin için aynı,13
bu da iki tane daha,13
o zaman bunu evet olarak,13
bak işte bu iyi oldu,13
buraya büyük ve kötü bir,13
iyi bir kız değil mi,13
ama bu beni kötü biri,13
o da tam olarak bunu,13
oh bu çok kötü bir,13
bir gün çok güzel bir,13
kaç dakika izin ver ona,13
o zaman neden onun hakkında,13
tek sorun şu ki biz,13
ama sanırım onlar bir şeyler,13
oldu da bunu daha önce,13
ve gördüm ki siz de,13
ya da bir şeyler yapmak,13
de bunlar biraz fazla değil,13
bundan emin olmak için beni,13
bu çok daha iyi oldu,13
hadi bana bir şeyler ver,13
birkaç gün sonra da çocuk,13
biri ona yardım ediyor gibi,13
o zaman ilk sen git,13
bir dakika bir dakika burada,13
bir tane var ama o,13
bu benim ve kimse ona,13
daha sonra buraya kadar nasıl,13
bu çok fazla iş demek,13
biri için çok özel bir,13
ama bu başka bir zaman,13
bu çok mu kötü bir,13
bunu yapmak için de fazla,13
bu benim için sorun olur,13
bu çok kötü bir lanet,13
kaç tane var biliyor musun,13
o zaman bundan nasıl bir,13
bir gün bir yerde tekrar,13
en az senin kadar o,13
daha iyi olacak öyle değil,13
kaç dakika içinde buraya yeni,13
bunun iyi bir zaman olduğunu,13
bir gün ve bir gece,13
hadi ama sen ve ben,13
ve çocuklar bunu gerçekten çok,13
en fazla bir gün daha,13
oh gerçekten de çok büyük,13
bunun ne demek olduğunu da,13
şey yapmak için ne gibi,13
ama bu işte son anda,13
bu bana ne gibi bir,13
ya da ben ona falan,13
ya da ben bu işte,13
buraya senin için değil onun,13
de bu yüzden sizi görmek,13
tüm şeyler için özür dilerim,13
ben hiçbir şey istemiyorum sadece,13
bir sorun ya da bir,13
şey var önemli bir şey,13
şey yok biliyorsun değil mi,13
belki de bana bir iş,13
en eski ve en büyük,13
biz sana yardım etmek için,13
tüm gün ve tüm gece,13
ne demek ki bu şimdi,13
ama sen daha önce de,13
bunun hiç de iyi bir,13
yardım etmek de istiyorum gerçekten,13
çok hoş bir kız var,13
bunun orada ne işi var,13
ne zaman olduğu önemli değil,13
o kadar ki beni de,13
o zaman biz o yüzden,13
daha çok para daha az,13
ne kadar zor olduğunu gördüm,13
bir iki belki de üç,13
ya da belki de benim,13
ya da belki de başka,13
hakkında bir şey mi biliyorsun,13
zor değil öyle değil mi,13
ya yardım edin ya da,13
ama bence artık bundan çok,13
ama sanırım bu kötü bir,13
de kötü bir adam olduğunu,13
seviyorum hem de çok çok,13
hayır sana bir hafta içinde,13
ve sen onun en iyi,13
sağ ol çok teşekkür ederim,13
bir yıl önce tam bu,13
küçük bir şey ama büyük,13
de bu sen hiçbir şeyi,13
ama onlara asla ne sizi,13
de onu senden çok seviyorum,13
ilk işi ne oluyor peki,13
bir daha seni ne zaman,13
de öyle ya da böyle,13
o kadar büyük ki bir,13
nasıl oldu da bunu daha,13
o kadar iyi öyle mi,13
ve eğer bir daha buraya,13
ama başka bir yerde olmak,13
şey vardı ondan sonra bunu,13
o zaman eve gidip biraz,13
birini daha önemli bir şey,13
oh yani bir iş var,13
ya da belki de bunu,13
bir hafta içinde ben de,13
o da bizim gibi orada,13
birkaç gün belki de bir,13
ama onlar için bir şeyler,13
hakkında bir şeyler biliyor olmalı,13
fakat bu adam tam bir,13
hakkında bir şey biliyorsun değil,13
misin bir kaç dakika sonra,13
oh bu çok büyük değil,13
pekala o kadar da kötü,13
ona de ki o çok,13
başka da bir şey değil,13
bak işte bu çok kötü,13
o zaman demek oluyor ki,13
oh bu çok iyi olur,13
ama başka pek bir şey,13
bir gün sen de bir,13
ve seni daha önce hiç,13
biz ile ne demek istiyorsun,13
hadi ama bu hiç de,13
tüm o gece senin için,13
bir dakika bir dakika orada,13
hadi ama beni benden daha,13
oh o kadar büyük değil,13
biz hiçbir zaman hiçbir yere,13
hayır ama bak siz de,13
sana hiç böyle bir şey,13
seviyorum ve senin de beni,13
o değil ki sorun şu,13
bu büyük ama tamam mı,13
hayır hayır ben teşekkür ederim,13
ama onu hiç bir zaman,13
yoksa bir tek sen mi,13
haydi şu işi adam gibi,13
bunun için bana bir gün,13
pekala bu hiç iyi değil,13
bu benim ve bu da,13
bir daha yanlış bir şey,13
ama bence bu senin için,13
ama sen bunu biliyorsun değil,13
bu çok önemli çünkü dostum,13
de ondan önce oraya gidip,13
de tam olarak bu değil,13
bu çok harika değil mi,13
bu çocuk bir şey biliyor,13
ama lütfen daha fazla bir,13
bir hafta ve bütün bu,13
ona o gece devam etmek,13
şey çok daha iyi olabilir,13
bu çok önemli değil mi,13
bu çok güzel öyle değil,13
hala ona karşı bir şeyler,13
ve şimdi benim gibi bir,13
ama ben de aynı şeyi,13
ve eminim benden de çok,13
hala benim ve her şeyi,13
şey çok fakat zaman az,13
yapmak için kötü bir zaman,13
demek kötü bir şey mi,13
bunun ne kadar hoş olduğunu,13
bu belki de biraz fazla,13
bu da beni sana karşı,13
o benim için çok özel,13
bir son olacak senin için,13
ama ona birkaç hafta önce,13
seni bilmiyorum ama ben bu,13
hayır ama daha iyi bir,13
hayır hayır bakın sadece benimle,13
iyi bir şey olsun ki,13
o zaman da ben onları,13
ona benden selam söyle olur,13
bu önemli değil tabii çünkü,13
bunun senin için mi olduğunu,13
hayır bize söyle önce biz,13
bunlar doğru ama hepsi gerçek,13
şeyler hep olur değil mi,13
de onun hiç böyle bir,13
biri böyle bir şey yapmak,13
o zaman benim için en,13
o zaman her şey aynı,13
istiyorum ama seninle mi emin,13
hayır o da sanırım sen,13
bu da neden bu kadar,13
tek kişi o ve bu,13
kaç saat içinde onu geri,13
istiyorum hem de bu gece,13
o da sanırım sen ne,13
hayır seni son bir kez,13
bana da çok büyük geldi,13
tek kişi için fazla büyük,13
bir daha asla burada yemek,13
hayır değil onun için değil,13
bunlar için ne kadar çok,13
işte iyi para var mı,13
bu yüzden onu sen ve,13
en son ne zaman kendi,13
o gün o eve geldi,13
yıl oldu gibi değil mi,13
yapmak için doğru zaman olabilir,13
bu yüzden yardım etmek için,13
o zaman beni bir daha,13
ilk kez o zaman gördüm,13
en çok ne yapmak istiyorum,13
o zaman bir şeyi daha,13
bir de şu şekilde bak,13
tek kişi sen olduğunu mu,13
biri var mı yok mu,13
o zaman ben seni kendi,13
ama bir şey için söz,13
biri senin için biri benim,13
fakat artık benim için bunun,13
daha iyi ve daha büyük,13
o zaman mutlu bir adam,13
bu yüzden sen de onu,13
bir hafta ya da daha,13
nasıl olur da o olabilir,13
hayır aslında çok iyi bir,13
hayır bu hiç sorun değil,13
bu bir adam değil mi,13
bu da senin için yeni,13
ona ne olduğu hakkında bir,13
de şimdi benim için başka,13
bu da seni benim için,13
hayır o kadar büyük olduğunu,13
bu da seni ona karşı,13
birkaç saat içinde burada olur,13
hayır onun hakkında çok şey,13
başka bir neden daha vardı,13
bu yüzden seni daha fazla,13
o da bu yüzden bizi,13
ama biz hiçbir zaman bir,13
ben her zaman seni mutlu,13
iyi ve daha büyük bir,13
ama bu iş bir tek,13
bu da bizim için çok,13
o gün ne oldu hiç,13
o zaman neden şey olmak,13
hayır hayır hayır ben sadece,13
bir doktor mu olacak yani,13
bu da bizim için bir,13
bir gün değil mi bugün,13
bir saat var tamam mı,13
hadi ama dostum o buna,13
ama bu iki gün önce,13
bu yüzden seni böyle görmek,13
şey var ama bir daha,13
hayır bir de hoş bir,13
ama bizim için büyük bir,13
o bizim için bir hiç,13
bunlar biri için çok özel,13
bu çok bir şey değil,13
hayır bu iyi bir gece,13
de onun için harika bir,13
bu yüzden senin için özel,13
nasıl ve neden bilmiyorum ama,13
şey yok ama yine de,13
oldu da böyle bir yere,13
bundan daha iyi bir şekilde,13
ve hala onu görmek istiyorum,13
bu benim ilk ve son,13
ve hep aynı şeyi gördüm,13
sana göre biri değil zaten,13
ne burada ne de şimdi,13
ama birlikte daha çok işe,13
hiçbir şey o kadar önemli,13
kaç kişi burada ve ne,13
işte son anda önemli şeyler,13
belki de ona bir şeyler,13
biri nasıl bu kadar iyi,13
hayır sana haydi ama dostum,13
seni hiç bu kadar kötü,13
daha sonra pek çok kez,13
ve hazır ol çünkü bu,13
birkaç hafta daha sorun olmaz,13
bunlar çok özel çünkü özel,13
biri nasıl olur da o,13
hayır sana göre bir iş,13
hayır hayır hayır sen değil,13
de çok iyi değil mi,13
sana göre bir tane var,13
eğer sana daha fazla para,13
bu da seni yeni en,13
o zaman ben sadece bir,13
merhaba sizi görmek ne güzel,13
de çok ve daha da,13
ve şey o zaman sen,13
bundan daha kötü şeyler de,13
bunu yapmak zorunda olan sen,13
oldu ve hiçbir şey yok,13
hala çok güzel ve bunun,13
bu da bir çok şeyi,13
bu da bir çok kez,13
ama bu hiç de doğru,13
ama onlar da bizim gibi,13
hayır dedim bay hiç kimse,13
o zaman neden bunu bana,13
ben her zaman senden daha,13
o iyi bir insan değil,13
buraya her yıl başka bir,13
hadi ama daha iyi bir,13
ne demek istiyorsun ne oldu,13
bu yüzden seninle bir an,13
seni bir daha görmek zorunda,13
iyi bir insan ve iyi,13
de öyle değil mi anne,13
ne zaman ondan bir şey,13
o iyi bir şey değil,13
iyi bir şey mi yani,13
gün önce bir adam geldi,13
ve tek önemli olan da,13
tam olarak emin olmak istiyorum,13
onu ben de senin kadar,13
beni tanrım bir çok insan,13
ve buraya bir daha asla,13
bütün bunlar çok uzun zaman,13
gibi bir şey ama daha,13
onu benden daha mı çok,13
ve böyle bir şey hiç,13
tam olarak emin değil misin,13
bu işi yapmak için son,13
ya çok geç ya çok,13
sadece her zaman iyi adam,13
neden senin için her şey,13
ve burada ne işi var,13
ve adam gerçekten gerçekten çok,13
gece burada yemek yok yemek,13
bu yüzden beni bir daha,13
bu işi iki kişi daha,13
saat kaç oldu biliyor musun,13
bu eski şeyi sizin için,13
her zaman bu kadar mutlu,13
gibi bir tane daha var,13
onun mu yoksa benim mi,13
onu görmek için hazır olacak,13
gece bizim için de aynı,13
hey onu bana geri ver,13
gece bu işi yapmak için,13
onun ne demek olduğunu biliyorum,13
bu kadın hakkında ne biliyorsun,13
onun ne kadar büyük bir,13
bu yüzden böyle bir şey,13
bile kendini bir daha asla,13
neden sen ve ben hemen,13
neden sen ve ben gidip,13
bu yüzden de çok fazla,13
hey sen burada ne yapıyorsun,13
neden sen oraya gidip kendini,13
ve daha büyük bir şey,13
onun nasıl biri olduğunu biliyorum,13
neden sen de herkes gibi,13
gibi biri değilim tamam mı,13
onu bir daha görmek mi,13
hey tatlım bu gerçek ve,13
bu yüzden o kadar iyi,13
tam olarak nasıl olduğunu bilmiyorum,13
bütün bunlar benim için çok,13
bu iş neden bu kadar,13
gibi olan adam az önce,13
bütün bunlar benim için biraz,13
hey dostum ne oldu ona,13
bu iş ne zaman oldu,13
bu iş için benden daha,13
ve daha önce seninle neden,13
hey bu şey değil mi,13
onunla bir daha ne zaman,13
hey bu harika değil mi,13
gibi içinde ne olduğunu görmek,13
onu bana ver onu bana,13
bu işi daha fazla yapmak,13
hem de bir gün içinde,13
bu doğru herkes de bunun,13
bu iş çok kötü bir,13
gerçek şu ki bunu yine,13
her yıl başka bir şey,13
bu daha iyi artık beni,13
gibi o da çok iş,13
gibi neden sen de burada,13
onun şu anda nerede olduğunu,13
ona yardım etmek için hiçbir,13
tam olarak ne olduğunu ve,13
gerçek şu ki senin için,13
bu demek oluyor ki artık,13
gerçek şu ki ben onu,13
bu demek oluyor ki beni,13
tam olarak ne kadar büyük,13
bu demek oluyor ki onu,13
ve diğer her şey hakkında,13
gerçek şu ki bence iyi,13
ve diğer her şey gibi,13
gerçek şu ki bu güzel,13
bu daha da kötü olur,13
her zaman beni başka bir,13
bu yüzden biz de bir,13
tam olarak ne zaman olacak,13
bu kesinlikle bize daha çok,13
ve asla öyle bir şey,13
her zaman hiç bir yerde,13
gerçekten de iyi bir şey,13
bizim için bir yer var,13
sadece senden ya da ondan,13
bu iş bir tek bu,13
gerçekten de çok güzel dostum,13
hiç lazım olmaz çünkü asla,13
her zaman olduğu gibi sen,13
her zaman ki gibi harika,13
bu iyi bir gece değil,13
her zaman olduğu gibi aynı,13
bu iyi bir şey aslında,13
bu iyi bu da güzel,13
bu iyi geldi değil mi,13
hiç kimse öyle bir şey,13
hiç kimse sana bir şey,13
ve aynı şeyi sana da,13
onunla ilgili asla hiçbir şey,13
hiç başka bir şey yapmak,13
ve belki de o çocuk,13
bizim için daha fazla para,13
tam burada her şeyi yok,13
tam da bunu yapmak için,13
bizim için de çok önemli,13
beni bir saat içinde tekrar,13
sadece senin için bir şey,13
ve onun kim olduğunu biliyorum,13
onunla ne daha mı iyi,13
ve onun kim olduğunu bilmiyorum,13
beni bu şekilde daha çok,13
gel ve beni al seni,13
ve onu neden bu kadar,13
beni bu yüzden mi işe,13
her zaman iyi bir adam,13
ve bana hiç bir şey,13
beni burada bekle olur mu,13
bu ilk ve son olacak,13
sadece sen ne kadar zor,13
her şey de bunun için,13
bu her zaman olur bay,13
var ama şimdi pek bir,13
her şey benim için yeni,13
onu daha az görmek zorunda,13
yine de onu öyle de,13
onu ilk ve son kez,13
gerçekten öyle biri var mı,13
var her zaman bir şeyler,13
neden bir şeyler hakkında bir,13
bu hiç de güzel değil,13
bu hiç de güzel bir,13
onun kim olduğunu bilmiyorum ama,13
var mı yok mu ona,13
her yardım bizim için çok,13
var mısın yok musun ne,13
hiç kimse kimse benim gibi,13
var ne az ne fazla,13
var mı diye kontrol etmek,13
hiç iyi bir an değil,13
var mı diye kontrol ediyor,13
yine de şimdi benim için,13
benden bu kadar ne demek,13
bu her zaman olur mu,13
bence harika bir şey bu,13
bütün herkes kadar sen de,13
bence yanlış bir şey yok,13
her şey hala yeni geliyor,13
bu hep olan bir şey,13
her şey güzel olacak tamam,13
bence senin gibi bir adam,13
ve başka kimse nerede olduğunu,13
yok ben öyle bir şey,13
yok bir şey hiçbir şey,13
yok bir şey özür dilerim,13
bu kadar yıl sonra bana,13
hiç sana göre biri değil,13
onu en son orada gördüm,13
hiç sorun yok değil mi,13
bence gerçekten bir sorun var,13
bu kadar önemli olsun ki,13
yok ama hemen bir tane,13
hey bunu diğer kişi için,13
hey burası harika bir yer,13
bu doğru değil ve sen,13
orada olmak nasıl bir şey,13
böyle bir şeyi yapmak için,13
uzun zaman önce hem de,13
gece için güzel bir şeyler,13
tanrım seni o kadar çok,13
hazır ol çünkü bu sana,13
bu o adam değil değil,13
yarın benim için çok önemli,13
uzun zaman sonra seni tekrar,13
bu yer için ne kadar,13
bilmiyorum ama sizi bir şekilde,13
bilmiyorum ama öyle değil mi,13
bilmiyorum ama harika bir şey,13
gerek yok mu yani artık,13
onun için biraz zor bir,13
böyle bir şeyi sana asla,13
bir bir sorun mu var,13
bir bir iki ve bir,13
uzun zaman oldu biliyorum ama,13
onlar bize yardım etmek için,13
hepsi bu yıl da var,13
hayır şimdi olmaz şimdi olmaz,13
hem de çok daha iyi,13
bu onu daha fazla mı,13
hem de çok uzun zaman,13
ve bunu senden daha iyi,13
hem de çok iyi dinle,13
bu ondan çok daha büyük,13
hem de çok iyi biri,13
orada neler oluyor biliyor musun,13
ve bu güzel bir şey,13
ve bu hiç iyi olmaz,13
o artık küçük bir adam,13
bir başka zaman bir başka,13
ve bu demek oluyor ki,13
bu ne zaman oldu peki,13
böyle bir anda geri mi,13
ve bu onun için çok,13
bu o kadar önemli ki,13
hepsi bu kadar tamam mı,13
böyle daha mı iyi oldu,13
ondan sonra neler olacak birlikte,13
bu kız hiç kimse oldu,13
böyle bir şey ister miyim,13
bu lanet adam da kim,13
yarın daha güzel bir yer,13
bu sadece doğru zaman değil,13
onun için senden daha iyi,13
bu sadece bir iş tamam,13
böyle bir şey olduğunu nasıl,13
tanrım o kadar oldu mu,13
bu sadece senden ya da,13
o ama bir kaç saat,13
tanrım nasıl böyle bir şey,13
onun için ben de bu,13
yarın geliyor ve bizi de,13
bir baba ve iyi bir,13
onun için en önemli şey,13
o anda o özel yerde,13
bir baba olmak için her,13
onun hiç böyle bir şey,13
tane daha var değil mi,13
gerek ve bize de bu,13
bu kız hakkında bir şeyler,13
onu ne için geri istiyorsun,13
onun için bir şey olduğunu,13
gereken şeyler var tamam mı,13
böyle bir şey dedim mi,13
onun için o kadar çok,13
gereken çok şey de yok,13
onun için de bir şeyler,13
böyle bir yerde bu ne,13
onun için daha mı iyi,13
onun için fazla bir şey,13
