threegram,frequency
o nasıl iyi,34
de mutlu değil,34
baba böyle bir,34
bu yine o,34
biraz olsun beni,34
eğer benim bir,34
seninle bir hafta,34
de o olduğunu,34
bir yer olan,34
sadece biraz yer,34
hayır bence de,34
anne üzgünüm ama,34
orada en iyi,34
adam değil değil,34
misin yoksa bana,34
benim çok büyük,34
ve artık bizi,34
çok mu gerçekten,34
hey daha ne,34
çok yeni çok,34
mi bir tane,34
ama şimdi seninle,34
benim gibi çocuklar,34
o olmak istiyorum,34
aslında onu siz,34
yoksa yemek de,34
çünkü ben pek,34
etmek istiyorsun ama,34
yer gibi geliyor,34
sizin de bana,34
yerde her şey,34
çünkü bu yapmak,34
söyle sana bir,34
son gün olacak,34
senin bile değil,34
ama onu buradan,34
sonra tekrar burada,34
et ve bekle,34
iyi şey kendini,34
ve şimdi işte,34
iş yok artık,34
iyi zaman değil,34
kesinlikle ne demek,34
niye hep bunu,34
sadece sana biraz,34
kişi bu adam,34
de yok tamam,34
yer iyi değil,34
iş için size,34
onu son anda,34
ama seni o,34
mi ben size,34
sadece bütün bu,34
bu iş var,34
bugün için sağ,34
yer geliyor mu,34
o hazır değil,34
bana bunu ilk,34
içinde sadece bir,34
bence onlar bu,34
dedim ki hiçbir,34
ki burada sadece,34
oluyor lanet olsun,34
sadece burada olduğunu,34
ben seni artık,34
tanrım tüm o,34
ki bir yıl,34
çünkü başka ne,34
belki sadece biraz,34
zaman seni mutlu,34
tam olarak kabul,34
bilmiyorum ama benden,34
dedim ki bugün,34
bir an öyle,34
o ve küçük,34
bekle ben gidip,34
hepsi senin şu,34
benim çocuklar da,34
bunu hemen burada,34
zaman sizi de,34
tamam aynı anda,34
nerede o seni,34
ama hayır bunu,34
şimdi orada dur,34
çünkü artık her,34
zaman ve neden,34
onu ben istiyorum,34
çünkü bunu sadece,34
bana ne olabilir,34
hemen eve mi,34
iyi senin için,34
büyük biri olduğunu,34
az insan bunu,34
ben gidip ona,34
sonra her yer,34
ama hiç işe,34
o adam bunu,34
için gereken şeyler,34
onlar her gün,34
şey ona ne,34
etmek istiyorum ne,34
peki siz ve,34
kez daha olsun,34
sana fazla para,34
büyük bir neden,34
ama bize hiç,34
ama niye öyle,34
ben ben buna,34
ve al şu,34
bu nasıl geldi,34
iş yapmak istiyorsun,34
sen değil o,34
niye o şekilde,34
bütün zaman ve,34
o anda orada,34
kez ne oldu,34
zaman seni nasıl,34
sizi seviyorum bayan,34
aman tanrım bayan,34
ben onun ilk,34
zaman için çok,34
pek değil mi,34
o o senin,34
biz tamam mı,34
anda değil mi,34
yer burası gibi,34
çünkü benden başka,34
tam senin hakkında,34
ben mi öyle,34
hayır dostum sadece,34
bu hoş bayan,34
ve artık kimse,34
orada olmak istiyor,34
o şeyler gerçekten,34
iyi sen biliyor,34
belki belki belki,34
de öyle ben,34
onu ilk sen,34
ki daha yeni,34
yer misin lütfen,34
onunla sadece iki,34
ama şimdi size,34
ne sorun vardı,34
o zaman hoş,34
para benim değil,34
bile daha zor,34
bu onları buraya,34
haydi ama yapma,34
gereken zaman geldi,34
sanırım ben senden,34
karşı olduğunu biliyorum,34
geri istiyorum lütfen,34
büyük bir yıl,34
senin bir kaç,34
hep birlikte daha,34
bak bana karşı,34
kimse benden çok,34
benim için kaç,34
bu kız onun,34
çünkü sana söz,34
tamam bakalım burada,34
için biraz yemek,34
lütfen beni yere,34
bu kez kendi,34
şu ki oraya,34
mi bana mı,34
ki bunlar da,34
bütün o lanet,34
ve şey için,34
bu kez kabul,34
haydi bütün gece,34
için tanrım senin,34
çünkü bir de,34
zaman onu kim,34
oluyor o yüzden,34
ver şunu seni,34
iş olarak onu,34
hemen sonra geri,34
haydi bu çok,34
için bana hâlâ,34
niye beni görmek,34
bu beni özel,34
kadın için fazla,34
ama o yeni,34
onu şimdi geri,34
kadar bir hafta,34
ama şimdi nasıl,34
evet nasıl yardım,34
bu benim hep,34
et ve mutlu,34
büyük adam olacak,34
sonra sizi bir,34
oh hayır ne,34
çünkü bu uzun,34
neden ne peki,34
bakın ben çok,34
beni tekrar insan,34
haydi ama seni,34
peki size göre,34
o bize lazım,34
oluyor mu bilmiyorum,34
herkes de bunun,34
şey olsun tamam,34
onu biliyorum da,34
o da ister,34
kötü o kadar,34
niye beni hiç,34
ver de gidelim,34
sana neler neler,34
başka gün yok,34
çünkü burada ne,34
şimdi bak bu,34
olmaz mı ha,34
kez daha kendini,34
buna gerçek bir,34
mi bu çocuk,34
bana o iş,34
kez mi yapıyorsun,34
bu kadar daha,34
olduğu yerde daha,34
tamam bak bunu,34
pek harika değil,34
de şimdi daha,34
aman tanrım bana,34
tamam ama hiç,34
ver o lanet,34
iyi ve ben,34
size para mı,34
bu sadece hoş,34
belki ama çok,34
hayır baba beni,34
de şimdi bu,34
biz sadece et,34
haydi gidip onu,34
belki ama burada,34
olsun ki senin,34
ver ve sana,34
nasıl bir yemek,33
olmak bir işe,33
burası da kötü,33
bir daha nereden,33
zaten ben onun,33
hakkında da değil,33
şimdi bunu kim,33
demek ki adam,33
başka biri iyi,33
bunu neden sen,33
istiyorum seni istiyorum,33
çok insan yok,33
olarak geri geldi,33
bak eğer gerçekten,33
da doğru öyle,33
ondan her şey,33
saat içinde geliyor,33
iyi adam için,33
zaman haydi bakalım,33
şimdi burada olmak,33
teşekkür ederim lütfen,33
çünkü senin burada,33
hayır ben onlara,33
istemiyorum ama başka,33
biz de son,33
ne var baba,33
eğer bu onu,33
şey sanırım o,33
yoksa onu bir,33
kim için ve,33
siz de hep,33
seni önemli bir,33
devam ediyor efendim,33
olabilir ama sadece,33
fakat artık bir,33
tam olarak onunla,33
adam işi biliyor,33
şey biliyor ve,33
az herkes kadar,33
yıl önce kendi,33
hayır ben tamam,33
bunlar yine de,33
daha da bu,33
ama kız gibi,33
sana bırak onu,33
aslında sana yardım,33
birkaç hafta ver,33
ama gerçekten bana,33
onları geri istiyor,33
zaman sanırım sana,33
istiyorum senin gibi,33
istiyorum ve ben,33
gece buraya neden,33
nasıl bir yanlış,33
tüm bu eski,33
senin çok mutlu,33
et burada bir,33
baba seninle bir,33
ona söyle ben,33
istiyorum ve sonra,33
ki bir iş,33
bir şey bunun,33
merhaba bu ne,33
ne var bana,33
bunu yine yapmak,33
nasıl olur böyle,33
neden ben daha,33
bunu üç gün,33
hakkında benden fazla,33
burası biraz büyük,33
yoksa onu yok,33
için herkes bir,33
izin ver ki,33
önce bile böyle,33
ve sizi buraya,33
ve onlara da,33
izin ver bay,33
benim başka yok,33
ama ona izin,33
şunu kontrol et,33
dinle bak sana,33
yarın gece aynı,33
bence size de,33
ki tüm o,33
eve şimdi mi,33
ama aslında her,33
onu oraya siz,33
istiyorsun küçük kız,33
kim o kim,33
ama aslında hiçbir,33
sanırım bu hiç,33
gece daha burada,33
için de efendim,33
bugün biraz fazla,33
artık onu nerede,33
ama aslında hepsi,33
işte hiçbir şey,33
evet onu geri,33
oldu şu anda,33
pek sorun olmaz,33
artık onun da,33
sadece seni geri,33
olabilir ki zaten,33
zaman bu yüzden,33
bundan sonra bay,33
var bir iş,33
neden az önce,33
evet ve tüm,33
için bana daha,33
hayır ben eve,33
gerçekten de kendi,33
seni burada gördüm,33
var mı onun,33
teşekkür etmek istiyorsun,33
için benim kadar,33
şu kız hakkında,33
al onları ve,33
gel haydi seni,33
da belki senin,33
harika şey olduğunu,33
bir kız bizi,33
diye mi oldu,33
harika yemek için,33
mi hiç bilmiyorum,33
dur ve bunu,33
olan değil misin,33
olarak görmek istiyor,33
için hep çok,33
ben ondan söz,33
önce izin istiyorsun,33
ama onu doğru,33
bütün her yer,33
sorun değil sizi,33
hayır hayır doktor,33
olmak için niye,33
daha çok ver,33
sağ ol eski,33
sorun değil nasıl,33
senden daha mutlu,33
hayır hepsi senin,33
kez daha geri,33
en önemli zaman,33
önce bana şunu,33
bakın başka bir,33
zaman sen nasıl,33
tekrar aynı şey,33
onun kadar ben,33
bu hafta sen,33
ona pek fazla,33
sanırım burası benim,33
hiç mutlu bir,33
aslında böyle değil,33
ama belki iyi,33
daha önce izin,33
tamam mı sadece,33
de istiyorum bir,33
sonra nasıl oldu,33
son olarak en,33
ya bunlar ne,33
merhaba ne kadar,33
bu iş kesinlikle,33
fakat adam kabul,33
neden benden yardım,33
bugün de geç,33
zorunda değilim tamam,33
sadece onlara bir,33
ki bir dakika,33
ona söyle bunu,33
en eski şey,33
olur ki bu,33
mutlu etmek ister,33
belki bizim gibi,33
biliyorsun senin gibi,33
şey aslında biraz,33
ve hemen işe,33
size onun hakkında,33
olabilir mi dedim,33
biliyorsun büyük bir,33
tam gün mü,33
yıl sonra tüm,33
yardım etmek iyi,33
doktor ona bir,33
bu biraz büyük,33
tamam sen bana,33
ve senin içinde,33
istiyorsun senin için,33
aslında onu pek,33
birlikte çok hoş,33
kadar ilgili olduğunu,33
istiyorum ama bunun,33
sonra nasıl bu,33
hazır mı değil,33
yüzden seni geri,33
kadar buradan bir,33
seni buraya bana,33
benim dostum olarak,33
ben sana şimdi,33
eğer iki tane,33
sana hiç hayır,33
demek burada ne,33
yapmak için bile,33
son sen mi,33
kadar seni de,33
hayır şimdi daha,33
bu adam yanlış,33
bunun için hâlâ,33
hayır bence biraz,33
sen gerçek değil,33
bizim çok daha,33
o gerçekten hoş,33
en az herkes,33
adam kendini ne,33
bu şeyi artık,33
neden değil söyle,33
demek orada değil,33
para yoksa iş,33
her gün işte,33
tek iyi bir,33
sonra onu daha,33
ilk kez iki,33
neden olduğu gibi,33
ona asla böyle,33
hafta oldu mu,33
benimle asla böyle,33
tamam sadece birkaç,33
bak bunu nasıl,33
ben bu yeni,33
şimdi burada ve,33
sen mutlu değil,33
tamam biraz eski,33
sanırım gidip o,33
şeyi kontrol ediyorum,33
bana göre bütün,33
var ya beni,33
burada ne demek,33
sen beni de,33
sonra o başka,33
yapmak için hâlâ,33
aynı anda geri,33
çünkü daha bir,33
elbette tabii ki,33
biri iyi değil,33
birini çok kötü,33
benimle ilgili çok,33
da olsun ki,33
iyi diye bir,33
zor oluyor ama,33
tek kız sen,33
şey bundan sonra,33
var ve başka,33
her zaman anne,33
evet tabii bir,33
bile önemli olan,33
iyi değil hiç,33
hayır fakat bir,33
zaman ilk kez,33
kabul et onu,33
seninle birlikte yapmak,33
bu kadar geri,33
zaman hiçbir zaman,33
gibi ne demek,33
sadece size karşı,33
fakat ben sana,33
ve de doğru,33
senden bugün bütün,33
o gerçekten güzel,33
bu birkaç şeyi,33
ki senden başka,33
böyle yapmak istiyor,33
gibi olur ve,33
bunu oraya nasıl,33
onun değil ki,33
ve de sen,33
kız değil değil,33
da iş de,33
nasıl bunun bir,33
fakat bir an,33
hayır harika falan,33
olsun beni burada,33
var ve bize,33
da ben ondan,33
yanlış olduğunu da,33
de hiç var,33
ederim yine de,33
için bunu nasıl,33
ve ben saat,33
bu pek fazla,33
musun bir kaç,33
neden bunu başka,33
yardım ediyor olabilir,33
ben bizim için,33
yemek için bile,33
daha nedir ki,33
ama neden kendini,33
ve de kötü,33
şimdi eve geri,33
tam bu iş,33
ve bize zaman,33
onu hiç o,33
daha ne olur,33
ondan söz ediyor,33
iş falan yok,33
o yüzden birlikte,33
böyle şeyler olduğunu,33
seninle ben birlikte,33
teşekkürler ama şu,33
sonra o şey,33
gibi çok kişi,33
nasıl biri olarak,33
ilk olarak nerede,33
ama neden sana,33
senden de hiç,33
artık onu bana,33
bu yüzden istiyor,33
aynı yerde uzun,33
evet ama baba,33
hadi ama onlar,33
sanırım bunu nasıl,33
biliyorum ki onun,33
evet burada daha,33
evet peki neden,33
evet bu önemli,33
sen de birlikte,33
şimdi bu en,33
her yıl en,33
mutlu değilim ama,33
büyük gün ve,33
hadi ama nerede,33
beni dinle bay,33
gerçekten hiç sorun,33
şimdi yine öyle,33
kim olduğunu hemen,33
merhaba çok güzel,33
ver şunu da,33
her zaman biliyorsun,33
ve hep sen,33
evet bugün kim,33
onu en fazla,33
sizi o yüzden,33
bak değil mi,33
bana pek fazla,33
ki seni daha,33
asla gerçek adam,33
bize sen mi,33
her gün son,33
hayır ilk ben,33
tam bir yemek,33
şey bu başka,33
söyle bana tüm,33
gerek olsun ki,33
bunu da benim,33
şimdi de sanırım,33
sadece o insan,33
şey ne de,33
için burada hiçbir,33
bu onu birkaç,33
bir son gün,33
da bunun içinde,33
zaman hiçbir şekilde,33
gece bizim çocuklar,33
gerçekten öyle demek,33
sen bir baba,33
hiç kimse sen,33
baba her şeyi,33
bu güzel yerde,33
dilerim ama sana,33
kız için iyi,33
ama ben az,33
gibi tüm bunlar,33
bunu git de,33
şimdi yine aynı,33
tekrar ediyorum burada,33
aman tanrım orada,33
kız başka ne,33
şey bunlar mı,33
daha yanlış bir,33
bütün gün benimle,33
kız iyi mi,33
gibi seni buraya,33
pekala ben ne,33
bak burada sana,33
o çocuk hep,33
eğer bu çocuk,33
sadece aynı anda,33
hadi ama bizi,33
bugün burada yarın,33
onu bir anda,33
dakika falan önce,33
bir insan ile,33
benim burada bile,33
siz bütün gün,33
fazla zaman gerekiyor,33
kadar değil elbette,33
bakalım işte böyle,33
çünkü artık burada,33
yok diye beni,33
gidip bu gece,33
edin bana lütfen,33
ne olduğunu siz,33
daha var baba,33
eğer beni kötü,33
dinle küçük adam,33
bu şeyi de,33
bakalım içinde neler,33
evet zaman zaman,33
hiç kimse gerçek,33
sana da gerçek,33
ver şimdi bana,33
ki bana bunu,33
sanırım bu kişi,33
hayır efendim elbette,33
zaman sanırım seni,33
için ona doğru,33
kadar mı istiyorsun,33
öyle değil senin,33
evet o anda,33
pek bize göre,33
de artık seni,33
şunu al al,33
artık orada kimse,33
kabul etmek mi,33
yoksa bunu sana,33
daha önce kesinlikle,33
daha güzel ama,33
bize bir kez,33
her şekilde ben,33
yapıyorsun ki bunu,33
de artık ona,33
yapıyorsun burada sen,33
iş mi yoksa,33
ve onları orada,33
çünkü seni buraya,33
kız işi ama,33
için değil öyle,33
ol çok sağ,33
zaman en kötü,33
iş için ona,33
olarak harika bir,33
kendi işi var,33
yere geri mi,33
de hiç ama,33
de mi iyi,33
hakkında bir tek,33
gerçek değil sadece,33
seni görmek hep,33
ne olduğunu kontrol,33
ama dedim ki,33
da ondan daha,33
var tam burada,33
ben bu küçük,33
çünkü burada senin,33
bunlar onlar değil,33
tamam mı küçük,33
et de kimse,33
ama bana şu,33
bize ondan neden,33
demek peki bu,33
şey tüm bu,33
bu yer o,33
bence bu uzun,33
sana insan gibi,33
biz de yarın,33
bu benim olabilir,33
ve saat daha,33
burada mutlu olduğunu,33
ki ve ben,33
şu ki öyle,33
aslında seni bu,33
bana gel tamam,33
oh evet ne,33
bir çok işte,33
biri bu mu,33
dinle sana söz,33
onun bir kaç,33
demek ki yeni,33
nasıl öyle oldu,33
belki emin olmak,33
belki şimdi beni,33
bize o zaman,33
bakalım bu sana,33
gerçek değil misin,33
gibi ve o,33
o yüzden hem,33
ve eve gidip,33
ki asla bir,33
neden böyle büyük,33
benimle birlikte yemek,33
zaman ilk sen,33
bak bu şeyi,33
ama daha tam,33
o bile bunu,33
bence bunu gerçekten,33
seni görmek onu,33
bütün gün buraya,33
şimdi bu bu,33
oh evet öyle,33
bile yok ve,33
gel buraya seninle,33
gibi olduğu için,33
bu işe geri,33
oh ne demek,33
kız da değil,33
gibi ve ben,33
küçük şeyler bunlar,33
iyi bir yarın,33
oldu ki bir,33
seni bu özel,33
var ve işe,33
bunu da öyle,33
bugün onunla birlikte,33
seni tüm gece,33
var ama işe,33
şeyler bunlar onları,33
oluyor da herkes,33
herkes bizim kadar,33
peki biz nerede,33
de önce seni,33
benim kadar istiyorsun,33
seni seviyorum senin,33
neden onları biraz,33
evet senden çok,33
hey dostum bana,33
bakın bu o,33
ve benim içinde,33
biz asla insan,33
geliyor ki siz,33
beni her şekilde,33
o şimdi sizin,33
bir dakika diğer,33
şeyler bunun için,33
hadi hadi daha,33
şimdi neden seni,33
an tek önemli,33
önemli olan nerede,33
kimse onlara ne,33
çocuk olduğunu mu,33
onun ne iş,33
hey çocuklar şu,33
nasıl olduğunu kontrol,33
peki ben niye,33
adam vardı ama,33
her yerde mi,33
kadar uzun oldu,33
yüzden de sizi,33
haydi gidip onları,33
ki bütün gece,33
hey çocuklar siz,33
bence biri onu,33
artık bundan emin,33
pek mutlu gibi,33
doktor daha var,33
bunu mu sorun,33
ama eğer birlikte,33
ama artık buraya,33
demek bütün bunlar,33
için bile olmaz,33
gerçekten de benden,33
öyle mi geliyor,33
kadar kötü oldu,33
bu büyük para,33
söyledi biz de,33
kaç tane yeni,33
şimdi ona da,33
karşı asla böyle,33
ve iyi zaman,33
ve sonra iyi,33
şey artık çok,33
hayır başka biri,33
sen sen benimle,33
bana hep olur,33
öyle mi ha,33
onun hakkında öyle,33
eski hem de,33
şeyler yapmak istiyorsun,33
kaç yoksa seni,33
olsun sen yine,33
bir anda öyle,33
mi bunun için,33
hey dostum senin,33
hadi ben sana,33
seni tekrar gördüm,33
oldu da ona,33
bilmiyorum ama biliyorum,33
şeyi geri al,33
gibi buna da,33
hayır lütfen bu,33
ki bunu kabul,33
ama eğer şimdi,33
birkaç kişi bunu,33
aslında o daha,33
olarak öyle mi,33
doktor ve ben,33
hayır kesinlikle iyi,33
ve önce o,33
daha bu hafta,33
bu biraz olsun,33
selam çocuklar ne,33
olan yer mi,33
bir de asla,33
demek emin değilim,33
o anda ilk,33
şimdi ve daha,33
aslında beni hiç,33
ve çocuklar ve,33
artık seni ben,33
evet bak bunu,33
hadi git hadi,33
bu şeyi mi,33
için mi iyi,33
o işe devam,33
ne zaman şunu,33
söyledi sonra da,33
tek şey nasıl,33
artık bu sadece,33
her zaman dışarı,33
onun o büyük,33
bir neden olmak,33
de ona o,33
belki bu son,33
ol dostum ama,33
yoksa çok güzel,33
tek çocuk olarak,33
emin olmak çok,33
ki burada çok,33
mu bir şeyler,33
tatlım bana yardım,33
ben onlara sadece,33
neden olmak için,33
çünkü beni asla,33
bu senin şu,33
şu ki başka,33
çok teşekkürler doktor,33
kötü ama daha,33
eğer sizin gibi,33
mi biliyorsun yoksa,33
sana onu da,33
bana kim o,33
doktor üç hafta,33
şey hayır ama,33
misin yoksa başka,33
kaç saat burada,33
o adam sizi,33
ile ilgili öyle,33
al bir işe,33
sen olduğunu da,33
yardım edin ben,33
ki onu ben,33
o anda bütün,33
sen o kadın,33
ile de bir,33
iyi çünkü bu,33
hey bana bunu,33
sanırım herkes biraz,33
kimse onu senin,33
ben size çok,33
zaman böyle kötü,33
hayır ama nasıl,33
için iki neden,33
öyle olacak dostum,33
şimdi seni neden,33
bütün çocuklar bana,33
iyi çünkü artık,33
ama buraya tekrar,33
senden de daha,33
şimdi olmaz bayan,33
kim söz ediyor,33
için bile para,33
ile birlikte her,33
asla bir şeyler,33
iyi olsun istiyorum,33
ama ya geri,33
bu onun bana,33
yıl ilk kez,33
seni ne güzel,33
seni seviyorum benim,33
efendim ama biz,33
bu seni her,33
niye sadece beni,33
ile bir çok,33
bak birkaç gün,33
hey bu güzel,33
peki bir gün,33
şey gidip ona,33
olan uzun ve,33
işi için beni,33
herkes için ne,33
hadi söyle ona,33
yoksa söz mü,33
burada aynı şeyi,33
ve tekrar özür,33
bir para bu,33
doktor bir kaç,33
efendim bu sadece,33
biraz da bir,33
geri mi istiyor,33
bir bak ya,33
al sana başka,33
işte bu bizi,33
şeyler de yapmak,33
al bakalım bunu,33
niye onun için,33
olarak bu küçük,33
önce hiçbir yerde,33
ile birlikte geliyor,33
hey bu sen,33
bilmiyorum bana bir,33
zaman bunu kim,33
hayır sadece her,33
para bana lazım,33
geliyor olabilir ki,33
senin kadar emin,33
kimse iyi değil,33
haydi ama küçük,33
aslında bu seni,33
herkes benimle birlikte,33
her ne iş,33
ki en fazla,33
geliyor ve sen,33
geliyor ve o,33
miyim ben senin,33
yani ben her,33
belki bana seni,33
biz de hâlâ,33
o kadar istiyor,33
olsun diye beni,33
ki bu sorun,33
ama artık oraya,33
gibi değil aslında,33
belki onu burada,33
ki dedim ki,33
gibi geliyor sana,33
onu senden geri,33
artık bunu bir,33
sadece sana özel,33
evet orada da,33
bırak onu hadi,33
onu tüm gün,33
bir de işe,33
oldu ama şu,33
gibi değil baba,33
da al bakalım,33
biz her yerde,33
beni üç saat,33
yoksa seni ve,33
sen bile beni,33
çünkü ben lanet,33
gerçekten de aynı,33
niye ona yardım,33
daha bile güzel,33
gün önce birini,33
ve onun güzel,33
efendim bu büyük,33
ama şimdi onunla,33
hadi çocuklar bunu,33
hayır aslında sadece,33
zorunda sen de,33
olacak bir yer,33
yüzden bana göre,33
önemli olan neler,33
hey beni bu,33
sen ona kaç,33
neden siz ve,33
onu sadece senin,33
herkes için bay,33
geliyor ama ne,33
da gece değil,33
yarın kendini daha,33
olur tabii ama,33
doktor harika bir,33
oluyor da hiçbir,33
ki sana göre,33
şey hayır hayır,33
bu işi nereden,33
peki bu harika,33
misin küçük dostum,33
yarın iyi bir,33
yüzden ben hiç,33
o adam burada,33
kadar kimse oraya,33
zaman işe geri,33
başka birini istemiyorum,33
hadi ya gerçekten,33
belki bana birkaç,33
efendim beni mi,33
onlara kim yardım,33
ben onları geri,33
olan var mi,33
bana kaç kez,33
miyim ya da,33
ama beni ilk,33
da aynı sorun,33
evet hayır bu,33
bu büyük olan,33
hey tamam tamam,33
o şey nereye,33
şeyi tek bir,33
tek şeyi yok,33
tane de ondan,33
ile bu yüzden,33
artık bunu da,33
şimdi onun gibi,33
gibi geldi bize,33
sadece para istiyor,33
bu da yine,33
kim orada olacak,33
ben seninle mi,33
çok ne de,33
gerçekten buna hiç,33
o işi kendi,33
ve tekrar hoş,33
efendim biliyorum ama,33
hayır aslında şu,33
ile birlikte şu,33
sorun yok buraya,33
kimse benim bir,33
bugün az daha,33
efendim bence bunu,33
üç kez falan,33
az bir gece,33
bir dakika tatlım,33
bu bu seni,33
o öyle bay,33
için mi kendini,33
artık kimse benimle,33
hayır ona sadece,33
harika değil de,33
sana benim de,33
sana git buradan,33
dur da ne,33
ve beni mutlu,33
doktor olarak senin,33
de gel bakalım,33
seni kötü kız,33
bir anne nasıl,33
aslında en son,33
onları hiç bir,33
önemli bir zaman,33
git ve mutlu,33
var ki böyle,33
olur da hiçbir,33
aslında ben ne,33
tabii kimse bunu,33
beni işe sen,33
ve eğer böyle,33
belki bize ondan,33
biri olduğunu bile,33
de çok mu,33
şimdi izin istiyorum,33
işi değil değil,33
bütün işi bana,33
mi yoksa eski,33
sana beni orada,33
bunun onunla ilgili,33
kaç git buradan,33
şey lazım bize,33
tabii ki gördüm,33
de burada işte,33
ve beni hâlâ,33
çünkü biz en,33
tabii ki kim,33
onunla birlikte olacak,33
için artık bana,33
onun olduğunu nasıl,33
mi var bu,33
ilgili bir söz,33
ve sonra şey,33
olan şey gibi,33
sizin için işe,33
son kez buraya,33
sen de ha,33
senden hiç para,33
sonra yine o,33
dur da ben,33
ben ilk olarak,33
sadece dur tamam,33
diye de değil,33
burada doğru şeyi,33
sadece görmek için,33
de olabilir değil,33
ama bizim var,33
tabii ki yeni,33
ver ve buradan,33
hadi ne olduğunu,33
benim ne iş,33
demek bir daha,33
o gece nasıl,33
seni iki gün,33
ve sana gerçekten,33
an seni görmek,33
mi sizin için,33
birkaç adam geldi,33
yok ama şunu,33
tabii ki iki,33
gün olduğunu biliyorsun,33
mı yoksa iki,33
ki de bu,33
şimdi bizim tüm,33
mi var tatlım,33
zaten hepsi senin,33
daha nasıl bir,33
kimse yeni bir,33
şimdi daha zor,33
burada bırak dedim,33
ki bu aynı,33
için hiç böyle,33
adam asla gerçek,33
de benim tek,33
sonra şu an,33
dinle benim de,33
çocuk ne oldu,33
tabii sen daha,33
zaman bütün gün,33
aman tanrım şunu,33
hayır her yerde,33
nasıl yani şimdi,33
mi emin olmak,33
doktor size şunu,33
güzel ne var,33
artık orada bir,33
biliyorum ama zaten,33
gibi bir olduğunu,33
birkaç küçük şey,33
önemli olan büyük,33
bakalım olacak mı,33
de öyle çok,33
senden büyük mü,33
da böyle seni,33
bizim eve gidip,33
gibi birini neden,33
de bundan var,33
bu şey büyük,33
da belki kendi,33
bana hep bunu,33
bize karşı hep,33
onunla kaç kez,33
çok değil bir,33
burada gerçekten güzel,33
olduğunu daha bugün,33
tabii ama çok,33
bakalım oldu mu,33
ilgili ne gibi,33
hayır her yer,33
zaman herkes gibi,33
mi yapmak istiyor,33
hiç birini bilmiyorum,33
ama bir baba,33
beni insan olarak,33
çok dostum olduğu,33
hiç biri bizim,33
tabii o bir,33
peki bana biraz,33
birini ne zaman,33
önce çok para,33
daha var tamam,33
şunu şunu ve,33
zaman gerçek olmaz,33
neden hiç benim,33
bu onun ne,33
bakın çok özür,33
tatlım bunu yapmak,33
için beni gerçekten,33
emin misin küçük,33
bu bize lazım,33
önemli olan buna,33
olan şey sizin,33
tüm gün hiçbir,33
tabii benim de,33
ben biraz para,33
işi vardı burada,33
ama sen lanet,33
ben seni yine,33
benim ki mi,33
belki bize bu,33
da bu var,33
benim olduğunu nasıl,33
git ve diğer,33
biliyorum ama emin,33
bu onunla ilk,33
anda bu işe,33
sen hep bunu,33
neden sadece onunla,33
herkes burada ne,33
ve işte ilk,33
daha asla eski,33
onlar da büyük,33
ve beni buna,33
tamam harika bir,33
tatlım biliyorum ama,33
dakika içinde bana,33
için mi seninle,33
bilmiyorum ama hâlâ,33
ama orada iyi,33
aslında hemen hemen,33
gün ve gün,33
zaman öyle olduğunu,33
geç ve orada,33
aslında ilk kez,33
iyi oldu ha,33
iyi oldu yoksa,33
bence o gerçekten,33
iyi olmak istemiyorum,33
burada hiç çocuk,33
eminim benim gibi,33
önce eve geldi,33
bu da saat,33
bunun için gerçek,33
sadece onu bana,33
oldu ama bunu,33
ki onun ne,33
bu burada bir,33
et bak bakalım,33
bana ne senin,33
adam bir yere,33
anne bana bak,33
ve işte geliyor,33
bir dakika hayır,33
çocuk neden ona,33
gördüm ve bana,33
yani ben ona,33
gördüm ama şimdi,33
para ver ve,33
bilmiyorum ama gerçek,33
gün geldi işte,33
önemli şey şu,33
aslında hiç iyi,33
ya da kabul,33
devam et sana,33
bak dostum bana,33
yıl kadar oluyor,33
başka bir tek,33
ve benimle orada,33
çok yanlış ve,33
birkaç kişi bir,33
önemli tek bir,33
gibi küçük şeyler,33
ya senin ki,33
hadi bakalım işte,33
daha böyle kötü,33
adam bunu size,33
çok ne yapmak,33
benim üç tane,33
hadi onu eve,33
siz bunu iyi,33
ama burası sadece,33
bir de yarın,33
söyledi ona göre,33
başka büyük bir,33
da seni dışarı,33
var senin gibi,33
kesinlikle senin gibi,33
bu o öyle,33
onları geri mi,33
bakalım nereye kadar,33
kim var bunun,33
niye bir tek,33
para için tabii,33
önemli değil benden,33
o beni böyle,33
tabii öyle de,33
aslında hala iyi,33
çünkü biz artık,33
ama kadın çok,33
şimdi iyi ama,33
hayır ama bize,33
mı şimdi mi,33
bu kez kim,33
hadi daha ne,33
bizim en çok,33
bilmiyorum ama burası,33
olabilir ama iş,33
ve hala o,33
bu seni onun,33
burada herkes kendi,33
ve çocuk gibi,33
ama onlar bile,33
bak dostum o,33
an pek de,33
da güzel şeyler,33
tamam şimdi sadece,33
dakika bekle bekle,33
mı yoksa seni,33
olarak bu bizim,33
onun olduğu yere,33
sizin burada bir,33
ver onu ben,33
de gerçekten kötü,33
ve eğer bize,33
her saat her,33
ve sonra bunun,33
güzel iş de,33
gibi ama onun,33
mi işte o,33
çünkü sadece seni,33
ama biz şimdi,33
tabii ki ederim,33
onun gerçekten bir,33
burası benim ve,33
eğer senin hakkında,33
az önce tekrar,33
böyle oluyor değil,33
tek şey evet,33
tamam en fazla,33
ve herkes buna,33
sadece onu da,33
ben sizin ne,33
